Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Footbrake Pot Input Voltage V (0.00390625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
3.231,75,,3.2313,0.0,,3.2313,1.25,,3.2309,30.75,,3.2313,-84.7,,3.231,-311,,3.2311,-62.125,,3.2313,0.0,,3.2309,107.5,,3.2309,52,,3.231,-84.5625,,3.2311,-13.6875,,3.2313,4.390625,,3.2313,-3.8125,,3.2311,-74.75,,3.2311,-74.9375,,
3.2496,75,,3.2499,0.0,,3.2499,-0.625,,3.2495,30.75,,3.25,-85.0,,3.2496,-311,,3.2498,-62.0625,,3.25,0.0,,3.2495,107.4375,,3.2495,52,,3.2496,-84.875,,3.2498,-14.4375,,3.2499,4.36328125,,3.2499,-2.5625,,3.2498,-74.625,,3.2498,-74.5,,
3.2698,76,,3.2701,0.0,,3.2701,1.125,,3.2696,30.75,,3.2701,-83.9,,3.2698,-311,,3.2699,-61.9375,,3.2701,0.0,,3.2696,107.4375,,3.2696,52,,3.2698,-83.75,,3.2699,-14.625,,3.2701,4.390625,,3.2701,-1.75,,3.2699,-74.5,,3.2699,-74.1875,,
3.2899,75,,3.2902,0.0,,3.2902,-0.625,,3.2898,30.75,,3.2903,-83.10000000000001,,3.2899,-309,,3.29,-62.0,,3.2903,0.0,,3.2898,107.5625,,3.2898,52,,3.2899,-82.9375,,3.29,-13.625,,3.2902,4.3828125,,3.2902,-2.375,,3.29,-74.625,,3.29,-75.5625,,
3.3096,76,,3.3098,0.0,,3.3098,0.4375,,3.3095,30.6875,,3.3099,-83.9,,3.3096,-307,,3.3097,-62.4375,,3.3099,0.0,,3.3095,107.5,,3.3095,52,,3.3096,-83.75,,3.3097,-14.125,,3.3098,4.36328125,,3.3098,-3.125,,3.3097,-75.0625,,3.3097,-74.9375,,
3.3296,73,,3.3298,0.0,,3.3298,-0.1875,,3.3295,30.6875,,3.3299,-83.7,,3.3296,-308,,3.3297,-62.75,,3.3299,0.0,,3.3295,107.4375,,3.3295,52,,3.3296,-83.5625,,3.3297,-13.5625,,3.3298,4.37109375,,3.3298,-2.8125,,3.3297,-75.5,,3.3297,-76.3125,,
3.3496,74,,3.3498,0.0,,3.3498,0.0,,3.3495,30.6875,,3.3499,-83.10000000000001,,3.3496,-309,,3.3497,-62.4375,,3.3499,0.0,,3.3495,107.625,,3.3495,52,,3.3496,-82.9375,,3.3497,-13.5,,3.3498,4.34765625,,3.3498,-2.9375,,3.3497,-75.125,,3.3497,-76.375,,
3.3696,72,,3.3698,0.0,,3.3698,-2.0,,3.3694,30.75,,3.3699,-83.4,,3.3696,-308,,3.3697,-62.375,,3.3699,0.0,,3.3694,107.5,,3.3694,52,,3.3696,-83.25,,3.3697,-12.1875,,3.3698,4.34765625,,3.3698,-1.5,,3.3697,-75.0,,3.3697,-78.25,,
3.3896,76,,3.3898,0.0,,3.3898,-0.1875,,3.3894,30.8125,,3.3899,-82.7,,3.3896,-309,,3.3897,-62.125,,3.3899,0.0,,3.3894,107.4375,,3.3894,52,,3.3896,-82.5625,,3.3897,-13.0,,3.3898,4.35546875,,3.3898,-2.75,,3.3897,-74.6875,,3.3897,-76.9375,,
3.4096,74,,3.4098,0.0,,3.4098,-0.625,,3.4095,30.8125,,3.4099,-82.7,,3.4096,-311,,3.4097,-61.6875,,3.4099,0.0,,3.4095,107.5,,3.4095,52,,3.4096,-82.5625,,3.4097,-14.125,,3.4098,4.3984375,,3.4098,-2.5,,3.4097,-74.1875,,3.4097,-74.875,,
