Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Footbrake Pot Input Voltage V (0.00390625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
20.7238,66,,20.7241,0.0,,20.7241,0.875,,20.7237,24.125,,20.7041,-55.1,,20.7238,-266,,20.724,-55.0,,20.7041,0.0,,20.7237,106.25,,20.7237,48,,20.7238,-55.0,,20.724,-11.75,,20.7241,3.44921875,,20.7241,-2.5625,,20.724,-66.1875,,20.724,-67.75,,
20.7438,66,,20.7441,0.0,,20.7441,-0.6875,,20.7437,24.125,,20.7242,-55.1,,20.7438,-266,,20.744,-55.0,,20.7242,0.0,,20.7437,106.375,,20.7437,48,,20.7438,-56.5,,20.744,-12.1875,,20.7441,3.43359375,,20.7441,-1.5625,,20.744,-66.1875,,20.744,-66.0625,,
20.7637,68,,20.7639,0.0,,20.7639,0.0625,,20.7636,24.1875,,20.7442,-56.6,,20.7637,-265,,20.7638,-56.5,,20.7442,0.0,,20.7636,106.25,,20.7636,48,,20.7637,-56.5,,20.7638,-10.5,,20.7639,3.4609375,,20.7639,-2.125,,20.7638,-68.0,,20.7638,-70.3125,,
20.7837,67,,20.7839,0.0,,20.7839,-2.375,,20.7835,24.1875,,20.764,-56.6,,20.7837,-261,,20.7838,-56.5,,20.764,0.0,,20.7835,106.3125,,20.7835,48,,20.7837,-56.0,,20.7838,-11.8125,,20.7839,3.50390625,,20.7839,-0.375,,20.7838,-68.0,,20.7838,-68.5,,
20.8038,68,,20.804,0.0,,20.804,-0.1875,,20.8037,24.1875,,20.784,-56.1,,20.8038,-261,,20.8039,-56.0,,20.784,0.0,,20.8037,106.3125,,20.8037,48,,20.8038,-56.8125,,20.8039,-11.875,,20.804,3.58203125,,20.804,-1.9375,,20.8039,-67.375,,20.8039,-68.3125,,
20.8237,69,,20.8239,0.0,,20.8239,1.3125,,20.8235,24.25,,20.8041,-56.900000000000006,,20.8237,-262,,20.8238,-56.8125,,20.8041,0.0,,20.8235,106.25,,20.8235,48,,20.8237,-58.125,,20.8238,-11.3125,,20.8239,3.58203125,,20.8239,-3.1875,,20.8238,-68.375,,20.8238,-69.75,,
20.8436,68,,20.8439,0.0,,20.8439,-0.625,,20.8435,24.375,,20.824,-58.2,,20.8436,-263,,20.8438,-58.125,,20.824,0.0,,20.8435,106.25,,20.8435,48,,20.8436,-60.3125,,20.8438,-12.5625,,20.8439,3.5546875,,20.8439,-2.0,,20.8438,-69.9375,,20.8438,-69.3125,,
20.8637,72,,20.864,0.0,,20.864,-2.6875,,20.8636,24.625,,20.844,-60.400000000000006,,20.8637,-265,,20.8638,-60.1875,,20.844,0.0,,20.8636,106.125,,20.8636,48,,20.8637,-60.3125,,20.8638,-12.6875,,20.864,3.5390625,,20.864,-0.875,,20.8638,-72.375,,20.8638,-71.375,,
20.8836,72,,20.8839,0.0,,20.8839,0.9375,,20.8835,24.9375,,20.864,-60.400000000000006,,20.8836,-267,,20.8838,-60.3125,,20.864,0.0,,20.8835,106.125,,20.8835,48,,20.8836,-59.5,,20.8838,-13.0625,,20.8839,3.56640625,,20.8839,-3.3125,,20.8838,-72.5625,,20.8838,-71.6875,,
20.9038,73,,20.904,0.0,,20.904,0.875,,20.9037,25.3125,,20.884,-59.6,,20.9038,-270,,20.9039,-59.5,,20.884,0.0,,20.9037,106.125,,20.9037,48,,20.9038,-59.125,,20.9039,-12.875,,20.904,3.58203125,,20.904,-3.1875,,20.9039,-71.625,,20.9039,-71.75,,
20.9238,71,,20.924,0.0,,20.924,-0.25,,20.9236,25.625,,20.9041,-59.2,,20.9238,-270,,20.9239,-59.125,,20.9041,0.0,,20.9236,106.125,,20.9236,48,,20.9238,-59.875,,20.9239,-13.9375,,20.924,3.546875,,20.924,-2.3125,,20.9239,-71.125,,20.9239,-69.8125,,
20.9436,72,,20.9439,0.0,,20.9439,0.25,,20.9435,25.75,,20.9241,-60.0,,20.9436,-270,,20.9438,-59.875,,20.9241,0.0,,20.9435,106.125,,20.9435,48,,20.9436,-60.3125,,20.9438,-11.6875,,20.9439,3.5390625,,20.9439,-2.625,,20.9438,-72.0625,,20.9438,-73.375,,
20.9638,73,,20.964,0.0,,20.964,0.875,,20.9636,25.9375,,20.944,-60.400000000000006,,20.9638,-269,,20.9639,-60.3125,,20.944,0.0,,20.9636,106.125,,20.9636,48,,20.9638,-59.3125,,20.9639,-12.1875,,20.964,3.5546875,,20.964,-3.0625,,20.9639,-72.5625,,20.9639,-73.0625,,
20.9837,70,,20.984,0.0,,20.984,-1.375,,20.9836,26.125,,20.9641,-59.400000000000006,,20.9837,-268,,20.9839,-59.3125,,20.9641,0.0,,20.9836,106.125,,20.9836,48,,20.9837,-59.125,,20.9839,-12.375,,20.984,3.57421875,,20.984,-1.4375,,20.9839,-71.375,,20.9839,-71.1875,,
21.0037,72,,21.004,0.0,,21.004,0.9375,,21.0036,26.125,,20.9841,-59.2,,21.0037,-267,,21.0039,-59.125,,20.9841,0.0,,21.0036,106.1875,,21.0036,48,,21.0037,-59.5,,21.0039,-13.0625,,21.004,3.546875,,21.004,-3.0625,,21.0039,-71.125,,21.0039,-70.8125,,
21.0237,71,,21.024,0.0,,21.024,-0.1875,,21.0236,26.1875,,21.0041,-59.6,,21.0237,-266,,21.0239,-59.5,,21.0041,0.0,,21.0236,106.1875,,21.0236,48,,21.0237,-60.0625,,21.0239,-12.625,,21.024,3.546875,,21.024,-2.25,,21.0239,-71.625,,21.0239,-71.5,,
21.0437,74,,21.044,0.0,,21.044,-2.0625,,21.0436,26.25,,21.0241,-60.2,,21.0437,-267,,21.0439,-60.0625,,21.0241,0.0,,21.0436,106.125,,21.0436,48,,21.0437,-59.3125,,21.0439,-12.125,,21.044,3.56640625,,21.044,-1.125,,21.0439,-72.3125,,21.0439,-72.875,,
21.0636,71,,21.0639,0.0,,21.0639,1.3125,,21.0635,26.25,,21.0441,-59.400000000000006,,21.0636,-267,,21.0637,-59.3125,,21.0441,0.0,,21.0635,106.1875,,21.0635,48,,21.0636,-59.3125,,21.0637,-13.8125,,21.0639,3.56640625,,21.0639,-3.25,,21.0637,-71.375,,21.0637,-69.875,,
21.0836,71,,21.0839,0.0,,21.0839,-0.875,,21.0835,26.3125,,21.0639,-59.400000000000006,,21.0836,-265,,21.0837,-59.3125,,21.0639,0.0,,21.0835,106.1875,,21.0835,48,,21.0836,-59.875,,21.0837,-11.1875,,21.0839,3.56640625,,21.0839,-1.75,,21.0837,-71.375,,21.0837,-72.0,,
