latitude;longitude;altitude (m);distance (km)
-33.6014;-70.522;776.4;0.0
-33.6014;-70.5222;776.3;0.011
-33.6014;-70.5223;776.1;0.022
-33.6014;-70.5224;775.9;0.03
-33.6014;-70.5224;775.9;0.031
-33.6014;-70.5224;775.9;0.033
-33.6014;-70.5224;775.9;0.033
-33.6014;-70.5224;775.9;0.033
-33.6014;-70.5224;775.9;0.033
-33.6014;-70.5225;775.7;0.043
-33.6014;-70.5226;775.7;0.054
-33.6014;-70.5228;775.7;0.07
-33.6014;-70.5229;775.7;0.081
-33.6014;-70.523;775.5;0.096
-33.6014;-70.5232;775.5;0.112
-33.6014;-70.5233;775.7;0.125
-33.6014;-70.5235;775.7;0.136
-33.6013;-70.5236;776.0;0.148
-33.6013;-70.5237;776.1;0.16
-33.6013;-70.5238;776.0;0.172
-33.6013;-70.524;775.8;0.184
-33.6013;-70.5241;775.6;0.196
-33.6013;-70.5242;775.5;0.209
-33.6013;-70.5244;775.6;0.223
-33.6013;-70.5245;775.6;0.237
-33.6013;-70.5247;775.5;0.251
-33.6013;-70.5248;775.5;0.265
-33.6013;-70.525;775.5;0.28
-33.6013;-70.5252;775.0;0.294
-33.6013;-70.5253;774.6;0.31
-33.6013;-70.5255;774.1;0.325
-33.6013;-70.5257;773.7;0.342
-33.6013;-70.5259;773.4;0.36
-33.6013;-70.526;773.6;0.376
-33.6014;-70.5262;773.5;0.393
-33.6014;-70.5264;773.3;0.409
-33.6015;-70.5265;772.8;0.426
-33.6016;-70.5266;772.0;0.441
-33.6018;-70.5267;771.9;0.458
-33.6019;-70.5267;771.7;0.476
-33.6021;-70.5266;771.5;0.491
-33.6022;-70.5265;771.5;0.507
-33.6023;-70.5264;771.8;0.524
-33.6023;-70.5262;772.1;0.537
-33.6023;-70.5261;772.5;0.552
-33.6023;-70.5259;772.8;0.565
-33.6023;-70.5258;772.7;0.579
-33.6023;-70.5256;772.2;0.594
-33.6023;-70.5254;771.7;0.611
-33.6023;-70.5253;771.1;0.628
-33.6023;-70.525;770.5;0.648
-33.6022;-70.5248;770.4;0.666
-33.6023;-70.5246;770.4;0.686
-33.6023;-70.5245;770.3;0.703
-33.6024;-70.5243;770.3;0.719
-33.6024;-70.5242;770.1;0.735
-33.6025;-70.524;770.7;0.751
-33.6027;-70.5239;772.1;0.768
-33.6028;-70.5238;773.4;0.784
-33.6029;-70.5237;774.6;0.801
-33.6031;-70.5236;775.8;0.819
-33.6032;-70.5236;777.0;0.839
-33.6033;-70.5234;777.5;0.857
-33.6035;-70.5233;776.2;0.876
-33.6036;-70.5232;775.1;0.893
-33.6036;-70.523;774.0;0.91
-33.6037;-70.5228;772.9;0.927
-33.6037;-70.5226;771.8;0.945
-33.6037;-70.5225;771.0;0.962
-33.6037;-70.5223;771.2;0.978
-33.6037;-70.5221;771.4;0.995
-33.6036;-70.5219;771.6;1.012
-33.6036;-70.5218;771.9;1.029
-33.6035;-70.5217;772.4;1.045
-33.6034;-70.5215;773.9;1.061
-33.6032;-70.5214;774.9;1.078
-33.6031;-70.5213;775.6;1.095
-33.603;-70.5212;776.2;1.111
