type,time,latitude,longitude,altitude (m),speed (km/h),course,slope (%),distance (km),distance_interval (m),color,opacity,width,name,desc,activity
T,2022-02-27 16:08:56,-33.601354330,-70.522035270,776.4,0.9,1.1,,0.000,,#0000ff,1.00,4,27 feb. 2022 1:08:54 p. m.,<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>comment</b></td><td></td></tr><tr><td><b>activity</b></td><td>0</td></tr></table>,0
T,2022-02-27 16:09:02,-33.601350580,-70.522156230,776.3,6.7,2.8,-1.6,0.011,11.23,,,,,,
T,2022-02-27 16:09:06,-33.601371370,-70.522265300,776.1,9.3,3.1,-1.9,0.022,10.38,,,,,,
T,2022-02-27 16:11:07,-33.601390800,-70.522354780,775.9,0.3,3.3,-2.1,0.030,8.58,,,,,,
T,2022-02-27 16:13:08,-33.601398680,-70.522363400,775.9,0.0,3.6,-2.4,0.031,1.18,,,,,,
T,2022-02-27 16:15:09,-33.601387750,-70.522365780,775.9,0.0,1.7,1.5,0.033,1.23,,,,,,
T,2022-02-27 16:17:10,-33.601387750,-70.522365780,775.9,0.0,3.2,,0.033,0.00,,,,,,
T,2022-02-27 16:19:11,-33.601387750,-70.522365780,775.9,0.0,2.1,,0.033,0.00,,,,,,
T,2022-02-27 16:21:12,-33.601387750,-70.522365780,775.9,0.0,5.6,,0.033,0.00,,,,,,
T,2022-02-27 16:21:32,-33.601377470,-70.522474650,775.7,1.8,4.7,-1.5,0.043,10.17,,,,,,
T,2022-02-27 16:21:36,-33.601385930,-70.522599420,775.7,10.5,4.7,-0.1,0.054,11.62,,,,,,
T,2022-02-27 16:21:39,-33.601401870,-70.522762170,775.7,18.3,4.5,-0.1,0.070,15.21,,,,,,
T,2022-02-27 16:21:41,-33.601412350,-70.522888170,775.7,21.2,4.7,-0.3,0.081,11.75,,,,,,
T,2022-02-27 16:21:44,-33.601434080,-70.523047370,775.5,18.0,4.6,-1.0,0.096,14.97,,,,,,
T,2022-02-27 16:21:47,-33.601435500,-70.523214400,775.5,18.6,4.8,-0.1,0.112,15.50,,,,,,
T,2022-02-27 16:21:49,-33.601413170,-70.523349030,775.7,22.9,5.0,1.6,0.125,12.74,,,,,,
T,2022-02-27 16:21:51,-33.601391450,-70.523466800,775.7,20.1,4.8,-0.0,0.136,11.19,,,,,,
T,2022-02-27 16:21:53,-33.601344180,-70.523590880,776.0,22.8,4.9,2.2,0.148,12.65,,,,,,
T,2022-02-27 16:21:55,-33.601316920,-70.523712930,776.1,21.1,4.9,0.6,0.160,11.72,,,,,,
T,2022-02-27 16:21:57,-33.601303970,-70.523843130,776.0,21.9,4.8,-0.8,0.172,12.17,,,,,,
T,2022-02-27 16:21:59,-33.601295300,-70.523964730,775.8,20.4,4.7,-1.1,0.184,11.33,,,,,,
T,2022-02-27 16:22:01,-33.601294200,-70.524096680,775.6,22.0,4.7,-1.9,0.196,12.25,,,,,,
T,2022-02-27 16:22:03,-33.601291370,-70.524238620,775.5,23.7,4.6,-0.6,0.209,13.18,,,,,,
T,2022-02-27 16:22:05,-33.601286220,-70.524385850,775.6,24.6,4.7,0.8,0.223,13.68,,,,,,
T,2022-02-27 16:22:07,-33.601292170,-70.524536100,775.6,25.1,4.7,-0.3,0.237,13.96,,,,,,
T,2022-02-27 16:22:09,-33.601298750,-70.524691030,775.5,25.9,4.7,-0.4,0.251,14.40,,,,,,
T,2022-02-27 16:22:11,-33.601302070,-70.524840450,775.5,25.0,4.7,-0.1,0.265,13.87,,,,,,
T,2022-02-27 16:22:13,-33.601304800,-70.525003580,775.5,27.3,4.7,-0.1,0.280,15.14,,,,,,
T,2022-02-27 16:22:15,-33.601315670,-70.525157370,775.0,25.8,4.7,-3.5,0.294,14.32,,,,,,
T,2022-02-27 16:22:17,-33.601318520,-70.525326250,774.6,28.2,4.7,-2.5,0.310,15.68,,,,,,
T,2022-02-27 16:22:19,-33.601328800,-70.525490700,774.1,27.6,4.7,-3.2,0.325,15.31,,,,,,
T,2022-02-27 16:22:21,-33.601333870,-70.525666330,773.7,29.4,4.7,-2.5,0.342,16.31,,,,,,
T,2022-02-27 16:22:23,-33.601336800,-70.525861700,773.4,32.6,4.7,-1.7,0.360,18.14,,,,,,
T,2022-02-27 16:22:25,-33.601344320,-70.526038830,773.6,29.6,4.6,1.3,0.376,16.46,,,,,,
T,2022-02-27 16:22:27,-33.601382430,-70.526215720,773.5,30.5,4.4,-0.7,0.393,16.95,,,,,,
T,2022-02-27 16:22:29,-33.601436520,-70.526373880,773.3,28.5,4.2,-1.5,0.409,15.86,,,,,,
T,2022-02-27 16:22:31,-33.601523330,-70.526516480,772.8,29.5,3.9,-2.9,0.426,16.37,,,,,,
T,2022-02-27 16:22:33,-33.601643730,-70.526608620,772.0,28.5,3.7,-5.0,0.441,15.86,,,,,,
T,2022-02-27 16:22:35,-33.601788450,-70.526669820,771.9,30.6,3.3,-0.8,0.458,17.03,,,,,,
T,2022-02-27 16:22:37,-33.601943050,-70.526667430,771.7,30.9,3.1,-1.1,0.476,17.15,,,,,,
T,2022-02-27 16:22:39,-33.602077880,-70.526627670,771.5,27.7,2.7,-1.1,0.491,15.40,,,,,,
T,2022-02-27 16:22:41,-33.602184400,-70.526505880,771.5,29.4,2.3,0.1,0.507,16.35,,,,,,
T,2022-02-27 16:22:43,-33.602268030,-70.526358920,771.8,29.7,2.1,1.5,0.524,16.50,,,,,,
T,2022-02-27 16:22:45,-33.602323450,-70.526232750,772.1,23.8,1.9,2.6,0.537,13.23,,,,,,
T,2022-02-27 16:22:47,-33.602338320,-70.526075370,772.5,26.5,1.6,2.6,0.552,14.70,,,,,,
T,2022-02-27 16:22:49,-33.602329350,-70.525929600,772.8,24.4,1.5,2.0,0.565,13.57,,,,,,
T,2022-02-27 16:22:51,-33.602313300,-70.525782750,772.7,24.7,1.5,-0.2,0.579,13.75,,,,,,
T,2022-02-27 16:22:53,-33.602296370,-70.525625000,772.2,26.6,1.5,-3.6,0.594,14.76,,,,,,
T,2022-02-27 16:22:55,-33.602281870,-70.525444670,771.7,30.3,1.4,-3.3,0.611,16.81,,,,,,
T,2022-02-27 16:22:57,-33.602262280,-70.525262980,771.1,30.6,1.5,-3.2,0.628,17.00,,,,,,
T,2022-02-27 16:22:59,-33.602251100,-70.525048480,770.5,35.9,1.5,-2.9,0.648,19.95,,,,,,
T,2022-02-27 16:23:01,-33.602241870,-70.524845520,770.4,34.0,1.6,-0.8,0.666,18.87,,,,,,
T,2022-02-27 16:23:03,-33.602250920,-70.524640050,770.4,34.4,1.6,-0.0,0.686,19.10,,,,,,
T,2022-02-27 16:23:05,-33.602282450,-70.524460920,770.3,30.6,1.8,-0.1,0.703,16.99,,,,,,
