Time (s),0x0082_Supply_critical  ,,Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),0x0081_IO_can't_initialise  ,,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
0.0,0,,1186.6067,0.8125,,1186.6004,0,,1186.6007,0.0,,1186.6002,0.0,,1186.6007,1.4375,,1186.6002,540,,1186.6068,-0.125,,1186.6064,103.0625,,1186.6003,0.0,,1186.6066,0.0,,1186.6004,0,,1186.6005,0.0,,1186.6063,0,,0.0,0,,1186.6063,0.0,,1186.6063,1079,,1186.6002,540,,1186.6067,0.0,,1186.6002,527,,1186.6063,0.0,,1186.6002,0.0,,1186.6066,0,,1186.6068,0.0,,1186.6003,103.125,,1186.6003,23,,1186.6064,24,,1186.6005,0.0,,1186.6004,0.0,,0.0,0,,1186.6067,0.0,,1186.6064,0.0,,1186.6063,0,,1186.6067,0.0,,1186.6007,1.296875,,1186.6068,0.0,,1186.6063,1079,,1186.6007,0.0,,1186.6002,527,,1186.6005,0.0,,0.0,0,,1186.6068,0.0,,1186.6005,-1.0625,,
190.795,"0x4DC3 (0x00 0x00 0x00)",,1186.6267,-0.0625,,1186.6203,0,,1186.6205,0.0,,1186.62,0.0,,1186.6205,-1.1875,,1186.62,560,,1186.6268,0.375,,1186.6264,103.0625,,1186.6201,0.0,,1186.6265,0.0,,1186.6203,0,,1186.6204,0.0,,1186.6264,0,,548.894,"0x4682 (0x00 0x00 0x00)",,1186.6264,0.0,,1186.6264,1079,,1186.62,560,,1186.6267,0.0,,1186.62,527,,1186.6264,0.0,,1186.62,0.0,,1186.6265,0,,1186.6268,0.0,,1186.6201,103.0625,,1186.6201,23,,1186.6264,24,,1186.6204,0.0,,1186.6203,0.0,,190.7965,"0x45C3 (0x02 0x03 0x00)",,1186.6267,0.0,,1186.6264,0.0,,1186.6264,0,,1186.6267,0.0,,1186.6205,1.296875,,1186.6268,0.0,,1186.6264,1079,,1186.6205,0.0,,1186.62,527,,1186.6204,0.0,,190.7892,"0x4DC3 (0x00 0x00 0x00)",,1186.6268,0.0,,1186.6204,0.4375,,
190.795,0,,1186.6468,0.8125,,1186.6404,0,,1186.6406,0.0,,1186.6401,0.0,,1186.6406,0.875,,1186.6401,579,,1186.6469,-0.125,,1186.6465,103.0,,1186.6402,0.0,,1186.6466,0.0,,1186.6404,0,,1186.6405,0.0,,1186.6464,0,,548.894,0,,1186.6464,0.0,,1186.6464,1079,,1186.6401,579,,1186.6468,0.0,,1186.6401,527,,1186.6464,0.0,,1186.6401,0.0,,1186.6466,0,,1186.6469,0.0,,1186.6402,103.0625,,1186.6402,23,,1186.6465,24,,1186.6405,0.0,,1186.6404,0.0,,190.7965,0,,1186.6468,0.0,,1186.6465,0.0,,1186.6464,0,,1186.6468,0.0,,1186.6406,1.296875,,1186.6469,0.0,,1186.6464,1079,,1186.6406,0.0,,1186.6401,527,,1186.6405,0.0,,190.7892,0,,1186.6469,0.0,,1186.6405,-0.1875,,
190.795,1,,1186.6667,0.5,,1186.6605,0,,1186.6607,0.0,,1186.6602,0.0,,1186.6607,-0.6875,,1186.6602,596,,1186.6669,0.375,,1186.6665,103.0625,,1186.6603,0.0,,1186.6666,0.0,,1186.6605,0,,1186.6606,0.0,,1186.6663,0,,548.894,1,,1186.6663,0.0,,1186.6663,1079,,1186.6602,596,,1186.6667,0.0,,1186.6602,527,,1186.6663,0.0,,1186.6602,0.0,,1186.6666,0,,1186.6669,0.0,,1186.6603,103.125,,1186.6603,23,,1186.6665,24,,1186.6606,0.0,,1186.6605,0.0,,190.7965,1,,1186.6667,0.0,,1186.6665,0.0,,1186.6663,0,,1186.6667,0.0,,1186.6607,1.31640625,,1186.6669,0.0,,1186.6663,1079,,1186.6607,0.0,,1186.6602,527,,1186.6606,0.0,,190.7892,1,,1186.6669,0.0,,1186.6606,0.75,,
1212.7568,1,,1186.6867,0.25,,1186.6803,0,,1186.6805,0.0,,1186.68,0.0,,1186.6805,1.875,,1186.68,612,,1186.6868,-0.125,,1186.6864,103.0,,1186.6802,0.0,,1186.6866,0.0,,1186.6803,0,,1186.6804,0.0,,1186.6863,0,,553.0777,1,,1186.6863,0.0,,1186.6863,1079,,1186.68,612,,1186.6867,0.0,,1186.68,527,,1186.6863,0.0,,1186.68,0.0,,1186.6866,0,,1186.6868,0.0,,1186.6802,103.125,,1186.6802,23,,1186.6864,24,,1186.6804,0.0,,1186.6803,0.0,,1212.7568,1,,1186.6867,0.0,,1186.6864,0.0,,1186.6863,0,,1186.6867,0.0,,1186.6805,1.30859375,,1186.6868,0.0,,1186.6863,1079,,1186.6805,0.0,,1186.68,527,,1186.6804,0.0,,1212.7568,1,,1186.6868,0.0,,1186.6804,0.4375,,
,,,1186.7067,1.375,,1186.7003,0,,1186.7005,0.0,,1186.7,0.0,,1186.7005,-0.625,,1186.7,627,,1186.7068,-0.25,,1186.7064,103.0,,1186.7001,0.0,,1186.7065,0.0,,1186.7003,0,,1186.7004,0.0,,1186.7064,0,,553.0777,0,,1186.7064,0.0,,1186.7064,1079,,1186.7,627,,1186.7067,0.0,,1186.7,527,,1186.7064,0.0,,1186.7,0.0,,1186.7065,0,,1186.7068,0.0,,1186.7001,103.0625,,1186.7001,23,,1186.7064,24,,1186.7004,0.0,,1186.7003,0.0,,,,,1186.7067,0.0,,1186.7064,0.0,,1186.7064,0,,1186.7067,0.0,,1186.7005,1.30859375,,1186.7068,0.0,,1186.7064,1079,,1186.7005,0.0,,1186.7,527,,1186.7004,0.0,,,,,1186.7068,0.0,,1186.7004,-0.4375,,
,,,1186.7268,-0.75,,1186.7204,0,,1186.7206,0.0,,1186.7202,0.0,,1186.7206,-0.625,,1186.7202,641,,1186.7269,-0.8125,,1186.7265,103.0,,1186.7202,0.0,,1186.7266,0.0,,1186.7204,0,,1186.7205,0.0,,1186.7264,0,,1212.7568,0,,1186.7264,0.0,,1186.7264,1079,,1186.7202,641,,1186.7268,0.0,,1186.7202,527,,1186.7264,0.0,,1186.7202,0.0,,1186.7266,0,,1186.7269,0.0,,1186.7202,103.0625,,1186.7202,23,,1186.7265,24,,1186.7205,0.0,,1186.7204,0.0,,,,,1186.7268,0.0,,1186.7265,0.0,,1186.7264,0,,1186.7268,0.0,,1186.7206,1.31640625,,1186.7269,0.0,,1186.7264,1079,,1186.7206,0.0,,1186.7202,527,,1186.7205,0.0,,,,,1186.7269,0.0,,1186.7205,-0.4375,,
,,,1186.7467,-2.5,,1186.7403,0,,1186.7406,0.0,,1186.7401,0.0,,1186.7406,0.875,,1186.7401,654,,1186.7469,0.25,,1186.7465,103.0,,1186.7402,0.0,,1186.7466,0.0,,1186.7403,0,,1186.7405,0.0,,1186.7463,0,,,,,1186.7463,0.0,,1186.7463,1079,,1186.7401,654,,1186.7467,0.0,,1186.7401,527,,1186.7463,0.0,,1186.7401,0.0,,1186.7466,0,,1186.7469,0.0,,1186.7402,103.0,,1186.7402,23,,1186.7465,24,,1186.7405,0.0,,1186.7403,0.0,,,,,1186.7467,0.0,,1186.7465,0.0,,1186.7463,0,,1186.7467,0.0,,1186.7406,1.24609375,,1186.7469,0.0,,1186.7463,1079,,1186.7406,0.0,,1186.7401,527,,1186.7405,0.0,,,,,1186.7469,0.0,,1186.7405,-0.1875,,
,,,1186.7667,0.4375,,1186.7603,0,,1186.7605,0.0,,1186.76,0.0,,1186.7605,1.375,,1186.76,666,,1186.7668,0.25,,1186.7664,103.0,,1186.7602,0.0,,1186.7666,0.0,,1186.7603,0,,1186.7604,0.0,,1186.7663,0,,,,,1186.7663,0.0,,1186.7663,1079,,1186.76,666,,1186.7667,0.0,,1186.76,527,,1186.7663,0.0,,1186.76,0.0,,1186.7666,0,,1186.7668,0.0,,1186.7602,103.0625,,1186.7602,23,,1186.7664,24,,1186.7604,0.0,,1186.7603,0.0,,,,,1186.7667,0.0,,1186.7664,0.0,,1186.7663,0,,1186.7667,0.0,,1186.7605,1.25390625,,1186.7668,0.0,,1186.7663,1079,,1186.7605,0.0,,1186.76,527,,1186.7604,0.0,,,,,1186.7668,0.0,,1186.7604,0.125,,
,,,1186.7867,0.4375,,1186.7804,0,,1186.7806,0.0,,1186.7801,0.0,,1186.7806,-0.1875,,1186.7801,677,,1186.7868,0.25,,1186.7864,103.0,,1186.7803,0.0,,1186.7865,0.0,,1186.7804,0,,1186.7805,0.0,,1186.7863,0,,,,,1186.7863,0.0,,1186.7863,1079,,1186.7801,677,,1186.7867,0.0,,1186.7801,527,,1186.7863,0.0,,1186.7801,0.0,,1186.7865,0,,1186.7868,0.0,,1186.7803,103.125,,1186.7803,23,,1186.7864,24,,1186.7805,0.0,,1186.7804,0.0,,,,,1186.7867,0.0,,1186.7864,0.0,,1186.7863,0,,1186.7867,0.0,,1186.7806,1.2734375,,1186.7868,0.0,,1186.7863,1079,,1186.7806,0.0,,1186.7801,527,,1186.7805,0.0,,,,,1186.7868,0.0,,1186.7805,0.4375,,
