Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
22.5435,0,,22.5437,-0.4375,,22.5632,0.0,,22.5438,0.0,,22.5435,0,,22.5436,0.0,,22.5632,114.6875,,22.5632,37,,22.5435,0.0,,22.5436,0.0,,22.5437,1.28125,,22.5437,0.0,,22.5436,0.0,,22.5436,0.9375,,
22.5634,0,,22.5637,-1.5,,22.5833,0.0,,22.5638,0.0,,22.5634,0,,22.5636,0.0,,22.5833,114.6875,,22.5833,37,,22.5634,0.0,,22.5636,0.0,,22.5637,1.296875,,22.5637,0.0,,22.5636,0.0,,22.5636,2.125,,
22.5834,0,,22.5837,-0.9375,,22.6034,0.0,,22.5838,0.0,,22.5834,0,,22.5836,0.0,,22.6034,114.625,,22.6034,37,,22.5834,0.0,,22.5836,0.0,,22.5837,1.28125,,22.5837,0.0,,22.5836,0.0,,22.5836,1.25,,
22.6035,0,,22.6038,1.0,,22.6234,0.0,,22.6038,0.0,,22.6035,0,,22.6036,0.0,,22.6234,114.6875,,22.6234,37,,22.6035,0.0,,22.6036,0.0,,22.6038,1.2734375,,22.6038,0.0,,22.6036,0.0,,22.6036,-1.125,,
22.6235,0,,22.6238,-0.5,,22.6434,0.0,,22.6238,0.0,,22.6235,0,,22.6236,0.0,,22.6434,114.6875,,22.6434,37,,22.6235,0.0,,22.6236,0.0,,22.6238,1.25390625,,22.6238,0.0,,22.6236,0.0,,22.6236,-0.1875,,
22.6435,0,,22.6438,-0.9375,,22.6634,0.0,,22.6438,0.0,,22.6435,0,,22.6436,0.0,,22.6634,114.6875,,22.6634,37,,22.6435,0.0,,22.6436,0.0,,22.6438,1.2734375,,22.6438,0.0,,22.6436,0.0,,22.6436,1.25,,
22.6635,0,,22.6638,-1.5,,22.6834,0.0,,22.6638,0.0,,22.6635,0,,22.6636,0.0,,22.6834,114.6875,,22.6834,37,,22.6635,0.0,,22.6636,0.0,,22.6638,1.28125,,22.6638,0.0,,22.6636,0.0,,22.6636,1.5625,,
22.6835,0,,22.6838,-0.4375,,22.7034,0.0,,22.6838,0.0,,22.6835,0,,22.6836,0.0,,22.7034,114.6875,,22.7034,37,,22.6835,0.0,,22.6836,0.0,,22.6838,1.24609375,,22.6838,0.0,,22.6836,0.0,,22.6836,1.5625,,
22.7035,0,,22.7038,-1.5,,22.7234,0.0,,22.7039,0.0,,22.7035,0,,22.7037,0.0,,22.7234,114.625,,22.7234,37,,22.7035,0.0,,22.7037,0.0,,22.7038,1.23828125,,22.7038,0.0,,22.7037,0.0,,22.7037,1.5625,,
22.7235,0,,22.7238,-0.4375,,22.7434,0.0,,22.7239,0.0,,22.7235,0,,22.7237,0.0,,22.7434,114.75,,22.7434,37,,22.7235,0.0,,22.7237,0.0,,22.7238,1.23828125,,22.7238,0.0,,22.7237,0.0,,22.7237,0.9375,,
22.7435,0,,22.7437,-0.9375,,22.7634,0.0,,22.7438,0.0,,22.7435,0,,22.7436,0.0,,22.7634,114.75,,22.7634,37,,22.7435,0.0,,22.7436,0.0,,22.7437,1.2734375,,22.7437,0.0,,22.7436,0.0,,22.7436,0.625,,
22.7635,0,,22.7638,-0.9375,,22.7834,0.0,,22.7638,0.0,,22.7635,0,,22.7636,0.0,,22.7834,114.8125,,22.7834,37,,22.7635,0.0,,22.7636,0.0,,22.7638,1.28125,,22.7638,0.0,,22.7636,0.0,,22.7636,1.25,,
