Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
180.6038,0,,180.6041,1.125,,180.6037,0.375,,180.5843,1.2000000000000002,,180.6038,125,,180.604,1.5625,,180.6037,115.0625,,180.6037,32,,180.6038,2.3125,,180.604,5.3125,,180.6041,1.4375,,180.6041,-0.125,,180.604,2.5625,,180.604,1.8125,,
180.6238,0,,180.6241,-0.8125,,180.6236,0.375,,180.6041,1.8,,180.6238,125,,180.624,2.0625,,180.6236,115.0,,180.6236,32,,180.6238,2.1875,,180.624,5.4375,,180.6241,1.4296875,,180.6241,0.3125,,180.624,3.4375,,180.624,1.75,,
180.6437,0,,180.644,-0.125,,180.6436,0.375,,180.6241,1.7000000000000002,,180.6437,125,,180.6439,2.1875,,180.6436,115.0,,180.6436,32,,180.6437,2.0625,,180.6439,5.4375,,180.644,1.421875,,180.644,0.125,,180.6439,3.625,,180.6439,2.375,,
180.6638,0,,180.6641,0.6875,,180.6637,0.375,,180.6441,1.6,,180.6638,125,,180.6639,2.0625,,180.6637,115.0,,180.6637,32,,180.6638,1.9375,,180.6639,5.375,,180.6641,1.4140625,,180.6641,-0.4375,,180.6639,3.375,,180.6639,2.625,,
180.6839,0,,180.6842,0.0,,180.6838,0.375,,180.6641,1.5,,180.6839,126,,180.684,1.9375,,180.6838,115.0,,180.6838,32,,180.6839,1.8125,,180.684,5.5,,180.6842,1.421875,,180.6842,0.125,,180.684,3.1875,,180.684,2.375,,
180.7038,0,,180.7041,-0.6875,,180.7036,0.375,,180.6842,1.4000000000000001,,180.7038,126,,180.7039,1.8125,,180.7036,115.0,,180.7036,32,,180.7038,1.9375,,180.7039,5.125,,180.7041,1.4140625,,180.7041,0.25,,180.7039,3.0,,180.7039,3.9375,,
180.7239,0,,180.7242,-0.3125,,180.7238,0.375,,180.7041,1.5,,180.7239,126,,180.724,1.875,,180.7238,115.0,,180.7238,32,,180.7239,1.8125,,180.724,5.3125,,180.7242,1.4296875,,180.7242,0.1875,,180.724,3.0625,,180.724,2.9375,,
180.7439,0,,180.7441,-0.375,,180.7438,0.375,,180.7242,1.4000000000000001,,180.7439,127,,180.744,1.8125,,180.7438,115.125,,180.7438,32,,180.7439,2.0625,,180.744,5.875,,180.7441,1.4296875,,180.7441,0.1875,,180.744,3.0,,180.744,0.5,,
180.7638,0,,180.764,1.4375,,180.7636,0.375,,180.7442,1.6,,180.7638,127,,180.7639,1.9375,,180.7636,115.0625,,180.7636,32,,180.7638,2.0625,,180.7639,5.3125,,180.764,1.4140625,,180.764,-0.1875,,180.7639,3.25,,180.7639,3.0,,
180.7838,0,,180.784,0.75,,180.7836,0.375,,180.7641,1.6,,180.7838,127,,180.7839,2.0,,180.7836,115.0,,180.7836,32,,180.7838,1.8125,,180.7839,5.5,,180.784,1.44921875,,180.784,-0.125,,180.7839,3.3125,,180.7839,2.1875,,
180.8038,0,,180.804,1.4375,,180.8036,0.375,,180.7841,1.4000000000000001,,180.8038,127,,180.8039,1.8125,,180.8036,115.0,,180.8036,32,,180.8038,2.3125,,180.8039,5.4375,,180.804,1.45703125,,180.804,-0.25,,180.8039,3.0625,,180.8039,2.625,,
194.384,0,,194.3843,0.625,,194.3839,0.375,,194.3843,1.1,,194.384,163,,194.3841,1.9375,,194.3839,115.0,,194.3839,32,,194.384,1.375,,194.3841,6.5,,194.3843,1.40234375,,194.3843,-0.0625,,194.3841,3.25,,194.3841,3.1875,,
194.4041,0,,194.4043,-1.0,,194.4039,0.375,,194.4044,1.2000000000000002,,194.4041,163,,194.4042,1.5,,194.4039,115.0625,,194.4039,32,,194.4041,1.5,,194.4042,7.125,,194.4043,1.4140625,,194.4043,0.3125,,194.4042,2.5,,194.4042,0.5625,,
194.424,0,,194.4243,0.8125,,194.4239,0.375,,194.4243,1.4000000000000001,,194.424,163,,194.4241,1.4375,,194.4239,115.0625,,194.4239,32,,194.424,1.8125,,194.4241,6.8125,,194.4243,1.4140625,,194.4243,0.0,,194.4241,2.375,,194.4241,1.5625,,
194.444,0,,194.4442,0.0,,194.4439,0.375,,194.4443,1.4000000000000001,,194.444,163,,194.4441,1.6875,,194.4439,115.0625,,194.4439,32,,194.444,1.8125,,194.4441,6.875,,194.4442,1.37890625,,194.4442,0.125,,194.4441,2.8125,,194.4441,1.3125,,
194.464,0,,194.4642,0.8125,,194.4639,0.375,,194.4643,0.9,,194.464,163,,194.4641,1.75,,194.4639,115.0625,,194.4639,32,,194.464,1.125,,194.4641,6.4375,,194.4642,1.421875,,194.4642,-0.0625,,194.4641,2.9375,,194.4641,3.25,,
194.4841,0,,194.4843,-0.125,,194.4839,0.375,,194.4844,1.5,,194.4841,163,,194.4842,1.25,,194.4839,115.0,,194.4839,32,,194.4841,1.9375,,194.4842,6.5,,194.4843,1.4140625,,194.4843,0.125,,194.4842,2.0625,,194.4842,2.875,,
194.5041,0,,194.5044,-0.4375,,194.504,0.375,,194.5044,1.4000000000000001,,194.5041,163,,194.5043,1.6875,,194.504,115.0625,,194.504,32,,194.5041,1.8125,,194.5043,6.5,,194.5044,1.38671875,,194.5044,0.3125,,194.5043,2.8125,,194.5043,2.6875,,
194.5241,0,,194.5244,0.75,,194.524,0.375,,194.5245,1.0,,194.5241,163,,194.5243,1.8125,,194.524,115.0,,194.524,32,,194.5241,1.25,,194.5243,6.6875,,194.5244,1.40234375,,194.5244,0.0625,,194.5243,3.0,,194.5243,2.25,,
194.5442,0,,194.5444,-1.125,,194.544,0.375,,194.5445,1.2000000000000002,,194.5442,162,,194.5443,1.375,,194.544,115.0,,194.544,32,,194.5442,1.5,,194.5443,6.6875,,194.5444,1.38671875,,194.5444,0.4375,,194.5443,2.25,,194.5443,2.0625,,
194.5642,0,,194.5644,-0.3125,,194.564,0.375,,194.5645,1.0,,194.5642,162,,194.5643,1.375,,194.564,115.0625,,194.564,32,,194.5642,1.25,,194.5643,6.75,,194.5644,1.4140625,,194.5644,0.25,,194.5643,2.3125,,194.5643,1.6875,,
194.5841,0,,194.5844,-0.4375,,194.584,0.375,,194.5845,1.4000000000000001,,194.5841,162,,194.5843,1.25,,194.584,115.0625,,194.584,32,,194.5841,1.8125,,194.5843,6.8125,,194.5844,1.39453125,,194.5844,0.3125,,194.5843,2.125,,194.5843,0.8125,,
194.6042,0,,194.6044,0.875,,194.604,0.375,,194.6045,1.1,,194.6042,162,,194.6043,1.625,,194.604,115.0,,194.604,32,,194.6042,1.375,,194.6043,6.6875,,194.6044,1.39453125,,194.6044,0.0625,,194.6043,2.6875,,194.6043,1.25,,
194.6241,0,,194.6244,0.25,,194.624,0.375,,194.6244,1.1,,194.6241,161,,194.6242,1.4375,,194.624,115.0,,194.624,32,,194.6241,1.375,,194.6242,6.75,,194.6244,1.39453125,,194.6244,0.125,,194.6242,2.375,,194.6242,1.3125,,
194.6441,0,,194.6444,-0.8125,,194.644,0.375,,194.6444,1.1,,194.6441,161,,194.6443,1.3125,,194.644,115.0625,,194.644,32,,194.6441,1.375,,194.6443,6.625,,194.6444,1.39453125,,194.6444,0.4375,,194.6443,2.25,,194.6443,1.6875,,
194.6642,0,,194.6644,0.5,,194.664,0.375,,194.6645,1.1,,194.6642,161,,194.6643,1.3125,,194.664,115.125,,194.664,32,,194.6642,1.375,,194.6643,6.3125,,194.6644,1.4375,,194.6644,0.125,,194.6643,2.25,,194.6643,1.875,,
194.6841,0,,194.6843,-1.375,,194.684,0.375,,194.6844,1.7000000000000002,,194.6841,161,,194.6842,1.3125,,194.684,115.0625,,194.684,32,,194.6841,2.1875,,194.6842,6.375,,194.6843,1.40234375,,194.6843,0.4375,,194.6842,2.25,,194.6842,2.1875,,
194.7041,0,,194.7044,-3.0625,,194.704,0.3125,,194.7044,1.2000000000000002,,194.7041,161,,194.7042,1.9375,,194.704,115.0625,,194.704,32,,194.7041,1.5,,194.7042,6.5625,,194.7044,1.40234375,,194.7044,0.8125,,194.7042,3.25,,194.7042,2.4375,,
194.7241,0,,194.7244,-1.9375,,194.724,0.375,,194.7244,1.2000000000000002,,194.7241,161,,194.7242,1.625,,194.724,115.0625,,194.724,32,,194.7241,1.5,,194.7242,7.0625,,194.7244,1.4296875,,194.7244,0.3125,,194.7242,2.6875,,194.7242,0.8125,,
194.7441,0,,194.7444,0.5625,,194.744,0.375,,194.7444,1.6,,194.7441,161,,194.7443,1.4375,,194.744,115.0625,,194.744,32,,194.7441,2.0625,,194.7443,6.875,,194.7444,1.4375,,194.7444,0.0625,,194.7443,2.4375,,194.7443,1.125,,
194.7641,0,,194.7643,1.875,,194.764,0.375,,194.7644,1.7000000000000002,,194.7641,161,,194.7642,1.875,,194.764,115.0625,,194.764,32,,194.7641,2.1875,,194.7642,6.8125,,194.7643,1.4375,,194.7643,-0.25,,194.7642,3.125,,194.7642,1.3125,,
194.7841,0,,194.7843,-0.4375,,194.784,0.375,,194.7844,1.7000000000000002,,194.7841,162,,194.7842,2.125,,194.784,115.0625,,194.784,32,,194.7841,2.1875,,194.7842,6.625,,194.7843,1.44921875,,194.7843,0.25,,194.7842,3.5,,194.7842,3.0,,
194.8041,0,,194.8043,0.25,,194.804,0.375,,194.8044,1.8,,194.8041,161,,194.8042,2.125,,194.804,115.0,,194.804,32,,194.8041,2.3125,,194.8042,6.6875,,194.8043,1.40234375,,194.8043,0.375,,194.8042,3.5625,,194.8042,2.8125,,
194.8241,4,,194.8243,-0.5,,194.824,0.4375,,194.8244,1.2000000000000002,,194.8241,162,,194.8242,2.25,,194.824,115.0625,,194.824,32,,194.8241,1.5,,194.8242,6.875,,194.8243,1.4140625,,194.8243,0.25,,194.8242,3.6875,,194.8242,2.0625,,
194.8441,0,,194.8443,0.6875,,194.8439,0.4375,,194.8444,1.4000000000000001,,194.8441,162,,194.8442,1.6875,,194.8439,115.0625,,194.8439,32,,194.8441,1.8125,,194.8442,6.6875,,194.8443,1.40234375,,194.8443,0.0,,194.8442,2.75,,194.8442,2.8125,,
194.8641,0,,194.8643,-0.1875,,194.8639,0.4375,,194.8644,1.2000000000000002,,194.8641,162,,194.8642,1.6875,,194.8639,115.0,,194.8639,32,,194.8641,1.5,,194.8642,6.5,,194.8643,1.39453125,,194.8643,0.25,,194.8642,2.8125,,194.8642,2.625,,
194.8841,0,,194.8843,-0.6875,,194.8839,0.4375,,194.8844,1.1,,194.8841,162,,194.8842,1.5625,,194.8839,115.0625,,194.8839,32,,194.8841,1.375,,194.8842,6.5625,,194.8843,1.39453125,,194.8843,0.25,,194.8842,2.5625,,194.8842,3.375,,
194.904,0,,194.9043,0.0,,194.9039,0.4375,,194.9044,1.1,,194.904,162,,194.9042,1.375,,194.9039,115.0,,194.9039,32,,194.904,1.375,,194.9042,6.8125,,194.9043,1.40234375,,194.9043,0.0625,,194.9042,2.25,,194.9042,1.125,,
194.924,0,,194.9243,1.3125,,194.9239,0.4375,,194.9244,1.2000000000000002,,194.924,161,,194.9242,1.3125,,194.9239,115.125,,194.9239,32,,194.924,1.5,,194.9242,6.75,,194.9243,1.39453125,,194.9243,-0.0625,,194.9242,2.25,,194.9242,1.3125,,
194.944,0,,194.9443,-0.75,,194.9439,0.4375,,194.9444,1.1,,194.944,161,,194.9442,1.4375,,194.9439,115.0625,,194.9439,32,,194.944,1.375,,194.9442,6.5625,,194.9443,1.4375,,194.9443,0.375,,194.9442,2.375,,194.9442,2.0,,
194.964,0,,194.9643,-0.0625,,194.9639,0.375,,194.9644,1.7000000000000002,,194.964,161,,194.9642,1.375,,194.9639,115.0625,,194.9639,32,,194.964,2.1875,,194.9642,6.5,,194.9643,1.44921875,,194.9643,0.25,,194.9642,2.25,,194.9642,2.3125,,
194.984,0,,194.9843,-0.8125,,194.9839,0.375,,194.9843,1.8,,194.984,161,,194.9841,1.9375,,194.9839,115.0625,,194.9839,32,,194.984,2.3125,,194.9841,6.4375,,194.9843,1.4140625,,194.9843,0.25,,194.9841,3.25,,194.9841,2.875,,
195.004,0,,195.0043,-0.3125,,195.0039,0.375,,195.0043,1.4000000000000001,,195.004,160,,195.0041,2.25,,195.0039,115.0625,,195.0039,32,,195.004,1.8125,,195.0041,6.6875,,195.0043,1.4140625,,195.0043,0.1875,,195.0041,3.6875,,195.0041,2.8125,,
