Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
311.1723,0,,311.1526,0.875,,311.1722,0.0,,311.1527,0.0,,311.1723,0,,311.1725,0.0,,311.1722,114.0,,311.1722,43,,311.1723,0.0,,311.1725,0.0,,311.1526,1.2734375,,311.1526,0.0,,311.1725,0.0,,311.1725,0.25,,
311.1924,0,,311.1726,-0.125,,311.1922,0.0,,311.1727,0.0,,311.1924,0,,311.1926,0.0,,311.1922,114.0,,311.1922,43,,311.1924,0.0,,311.1926,0.0,,311.1726,1.31640625,,311.1726,0.0,,311.1926,0.0,,311.1926,0.5625,,
311.2124,0,,311.1927,-0.625,,311.2122,0.0,,311.1928,0.0,,311.2124,0,,311.2126,0.0,,311.2122,113.9375,,311.2122,43,,311.2124,0.0,,311.2126,0.0,,311.1927,1.30859375,,311.1927,0.0,,311.2126,0.0,,311.2126,-0.625,,
311.2325,0,,311.2127,-0.625,,311.2322,0.0,,311.2128,0.0,,311.2325,0,,311.2326,0.0,,311.2322,114.0,,311.2322,43,,311.2325,0.0,,311.2326,0.0,,311.2127,1.296875,,311.2127,0.0,,311.2326,0.0,,311.2326,-0.9375,,
311.2525,0,,311.2327,0.875,,311.2522,0.0,,311.2328,0.0,,311.2525,0,,311.2526,0.0,,311.2522,114.0,,311.2522,43,,311.2525,0.0,,311.2526,0.0,,311.2327,1.31640625,,311.2327,0.0,,311.2526,0.0,,311.2526,-1.5625,,
311.2725,0,,311.2527,-0.125,,311.2722,0.0,,311.2528,0.0,,311.2725,0,,311.2726,0.0,,311.2722,114.0,,311.2722,43,,311.2725,0.0,,311.2726,0.0,,311.2527,1.32421875,,311.2527,0.0,,311.2726,0.0,,311.2726,-0.6875,,
311.2924,0,,311.2727,0.375,,311.2922,0.0,,311.2728,0.0,,311.2924,0,,311.2926,0.0,,311.2922,113.9375,,311.2922,43,,311.2924,0.0,,311.2926,0.0,,311.2727,1.28125,,311.2727,0.0,,311.2926,0.0,,311.2926,0.25,,
311.3124,0,,311.2927,-0.125,,311.3122,0.0,,311.2928,0.0,,311.3124,0,,311.3126,0.0,,311.3122,114.0,,311.3122,43,,311.3124,0.0,,311.3126,0.0,,311.2927,1.26171875,,311.2927,0.0,,311.3126,0.0,,311.3126,-0.375,,
311.3324,0,,311.3127,-0.125,,311.3322,0.0,,311.3128,0.0,,311.3324,0,,311.3326,0.0,,311.3322,114.0,,311.3322,43,,311.3324,0.0,,311.3326,0.0,,311.3127,1.28125,,311.3127,0.0,,311.3326,0.0,,311.3326,-0.9375,,
311.3524,0,,311.3327,-0.125,,311.3522,0.0,,311.3328,0.0,,311.3524,0,,311.3526,0.0,,311.3522,113.9375,,311.3522,43,,311.3524,0.0,,311.3526,0.0,,311.3327,1.31640625,,311.3327,0.0,,311.3526,0.0,,311.3526,-0.375,,
