Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
480.6913,0,,480.6715,1.125,,480.6911,0.0,,480.6715,0.0,,480.6913,0,,480.6915,0.0,,0.0,0,,480.6911,108.9375,,480.6911,31,,480.6913,0.0,,480.6915,0.0,,0.0,0,,480.6715,1.31640625,,480.6715,0.0,,480.6915,0.0,,0.0,0,,480.6915,-1.125,,
480.7114,0,,480.6916,-0.4375,,480.7113,0.0,,480.6916,0.0,,480.7114,0,,480.7115,0.0,,80.6514,"0x4681 (0x00 0x00 0x00)",,480.7113,109.0,,480.7113,31,,480.7114,0.0,,480.7115,0.0,,115.112,"0x45C3 (0x03 0x03 0x00)",,480.6916,1.34375,,480.6916,0.0,,480.7115,0.0,,74.8987,"0x4DC3 (0x00 0x00 0x00)",,480.7115,2.125,,
480.7313,0,,480.7117,1.125,,480.7311,0.0,,480.7117,0.0,,480.7313,0,,480.7314,0.0,,80.6514,0,,480.7311,108.9375,,480.7311,31,,480.7313,0.0,,480.7314,0.0,,115.112,0,,480.7117,1.296875,,480.7117,0.0,,480.7314,0.0,,74.8987,0,,480.7314,-0.25,,
480.7514,0,,480.7315,0.0625,,480.7513,0.0,,480.7316,0.0,,480.7514,0,,480.7515,0.0,,80.6514,1,,480.7513,108.9375,,480.7513,31,,480.7514,0.0,,480.7515,0.0,,115.112,1,,480.7315,1.31640625,,480.7315,0.0,,480.7515,0.0,,74.8987,1,,480.7515,-0.25,,
480.7714,0,,480.7516,0.0625,,480.7713,0.0,,480.7517,0.0,,480.7714,0,,480.7715,0.0,,500.763,1,,480.7713,108.9375,,480.7713,31,,480.7714,0.0,,480.7715,0.0,,500.763,1,,480.7516,1.30859375,,480.7516,0.0,,480.7715,0.0,,500.763,1,,480.7715,-0.5625,,
480.7914,0,,480.7716,-0.4375,,480.7913,0.0,,480.7717,0.0,,480.7914,0,,480.7915,0.0,,,,,480.7913,108.875,,480.7913,31,,480.7914,0.0,,480.7915,0.0,,,,,480.7716,1.31640625,,480.7716,0.0,,480.7915,0.0,,,,,480.7915,-0.8125,,
480.8114,0,,480.7916,0.0625,,480.8113,0.0,,480.7917,0.0,,480.8114,0,,480.8115,0.0,,,,,480.8113,108.9375,,480.8113,31,,480.8114,0.0,,480.8115,0.0,,,,,480.7916,1.33203125,,480.7916,0.0,,480.8115,0.0,,,,,480.8115,-0.8125,,
480.8315,0,,480.8116,0.0625,,480.8313,0.0,,480.8117,0.0,,480.8315,0,,480.8316,0.0,,,,,480.8313,108.875,,480.8313,31,,480.8315,0.0,,480.8316,0.0,,,,,480.8116,1.30859375,,480.8116,0.0,,480.8316,0.0,,,,,480.8316,-2.0,,
480.8514,0,,480.8317,-0.9375,,480.8513,0.0,,480.8318,0.0,,480.8514,0,,480.8515,0.0,,,,,480.8513,108.875,,480.8513,31,,480.8514,0.0,,480.8515,0.0,,,,,480.8317,1.30859375,,480.8317,0.0,,480.8515,0.0,,,,,480.8515,1.5,,
480.8714,0,,480.8516,1.125,,480.8713,0.0,,480.8517,0.0,,480.8714,0,,480.8715,0.0,,,,,480.8713,108.9375,,480.8713,31,,480.8714,0.0,,480.8715,0.0,,,,,480.8516,1.34375,,480.8516,0.0,,480.8715,0.0,,,,,480.8715,0.0625,,
