Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
683.6323,0,,683.6325,-0.875,,683.6521,0.0,,683.6326,0.0,,683.6323,0,,683.6324,0.0,,683.6521,111.0625,,683.6521,28,,683.6323,0.0,,683.6324,0.0,,683.6325,1.31640625,,683.6325,0.0,,683.6324,0.0,,683.6324,-1.3125,,
683.6523,0,,683.6526,0.1875,,683.6721,0.0,,683.6526,0.0,,683.6523,0,,683.6524,0.0,,683.6721,111.0625,,683.6721,28,,683.6523,0.0,,683.6524,0.0,,683.6526,1.2890625,,683.6526,0.0,,683.6524,0.0,,683.6524,-0.125,,
683.6723,0,,683.6725,-0.3125,,683.6921,0.0,,683.6726,0.0,,683.6723,0,,683.6724,0.0,,683.6921,111.0625,,683.6921,28,,683.6723,0.0,,683.6724,0.0,,683.6725,1.2734375,,683.6725,0.0,,683.6724,0.0,,683.6724,-0.4375,,
683.6923,0,,683.6926,0.6875,,683.7123,0.0,,683.6926,0.0,,683.6923,0,,683.6924,0.0,,683.7123,111.0625,,683.7123,28,,683.6923,0.0,,683.6924,0.0,,683.6926,1.28125,,683.6926,0.0,,683.6924,0.0,,683.6924,1.3125,,
683.7124,0,,683.7127,-0.3125,,683.7321,0.0,,683.7127,0.0,,683.7124,0,,683.7125,0.0,,683.7321,111.0,,683.7321,28,,683.7124,0.0,,683.7125,0.0,,683.7127,1.2890625,,683.7127,0.0,,683.7125,0.0,,683.7125,0.4375,,
683.7323,0,,683.7326,1.25,,683.7521,0.0,,683.7326,0.0,,683.7323,0,,683.7324,0.0,,683.7521,111.0,,683.7521,28,,683.7323,0.0,,683.7324,0.0,,683.7326,1.28125,,683.7326,0.0,,683.7324,0.0,,683.7324,1.0625,,
683.7523,0,,683.7525,-0.3125,,683.7721,0.0,,683.7526,0.0,,683.7523,0,,683.7524,0.0,,683.7721,111.0625,,683.7721,28,,683.7523,0.0,,683.7524,0.0,,683.7525,1.2890625,,683.7525,0.0,,683.7524,0.0,,683.7524,-0.4375,,
683.7723,0,,683.7725,0.5,,683.7921,0.0,,683.7726,0.0,,683.7723,0,,683.7724,0.0,,683.7921,111.0625,,683.7921,28,,683.7723,0.0,,683.7724,0.0,,683.7725,1.2890625,,683.7725,0.0,,683.7724,0.0,,683.7724,1.1875,,
683.7923,0,,683.7925,-0.5,,683.8121,0.0,,683.7926,0.0,,683.7923,0,,683.7924,0.0,,683.8121,111.0625,,683.8121,28,,683.7923,0.0,,683.7924,0.0,,683.7925,1.28125,,683.7925,0.0,,683.7924,0.0,,683.7924,-0.5625,,
683.8122,0,,683.8125,1.5625,,683.8321,0.0,,683.8126,0.0,,683.8122,0,,683.8124,0.0,,683.8321,111.0,,683.8321,28,,683.8122,0.0,,683.8124,0.0,,683.8125,1.296875,,683.8125,0.0,,683.8124,0.0,,683.8124,2.9375,,
683.8323,0,,683.8325,1.0625,,683.8521,0.0,,683.8326,0.0,,683.8323,0,,683.8324,0.0,,683.8521,111.0,,683.8521,28,,683.8323,0.0,,683.8324,0.0,,683.8325,1.26171875,,683.8325,0.0,,683.8324,0.0,,683.8324,1.5,,
683.8522,0,,683.8525,1.0625,,683.872,0.0,,683.8526,0.0,,683.8522,0,,683.8524,0.0,,683.872,111.0,,683.872,28,,683.8522,0.0,,683.8524,0.0,,683.8525,1.2734375,,683.8525,0.0,,683.8524,0.0,,683.8524,1.5,,
683.8722,0,,683.8725,-1.0,,683.8921,0.0,,683.8725,0.0,,683.8722,0,,683.8723,0.0,,683.8921,111.0,,683.8921,28,,683.8722,0.0,,683.8723,0.0,,683.8725,1.2734375,,683.8725,0.0,,683.8723,0.0,,683.8723,-0.3125,,
683.8922,0,,683.8925,1.5625,,683.912,0.0,,683.8926,0.0,,683.8922,0,,683.8924,0.0,,683.912,111.0,,683.912,28,,683.8922,0.0,,683.8924,0.0,,683.8925,1.28125,,683.8925,0.0,,683.8924,0.0,,683.8924,0.625,,
683.9122,0,,683.9125,0.0,,683.9321,0.0,,683.9125,0.0,,683.9122,0,,683.9123,0.0,,683.9321,111.0,,683.9321,28,,683.9122,0.0,,683.9123,0.0,,683.9125,1.296875,,683.9125,0.0,,683.9123,0.0,,683.9123,-0.5625,,
683.9322,0,,683.9325,0.0625,,683.952,0.0,,683.9326,0.0,,683.9322,0,,683.9324,0.0,,683.952,111.0,,683.952,28,,683.9322,0.0,,683.9324,0.0,,683.9325,1.26171875,,683.9325,0.0,,683.9324,0.0,,683.9324,2.0625,,
683.9522,0,,683.9525,0.0,,683.972,0.0,,683.9525,0.0,,683.9522,0,,683.9523,0.0,,683.972,111.0,,683.972,28,,683.9522,0.0,,683.9523,0.0,,683.9525,1.2734375,,683.9525,0.0,,683.9523,0.0,,683.9523,1.5,,
683.9722,0,,683.9724,0.5,,683.992,0.0,,683.9726,0.0,,683.9722,0,,683.9723,0.0,,683.992,111.0625,,683.992,28,,683.9722,0.0,,683.9723,0.0,,683.9724,1.24609375,,683.9724,0.0,,683.9723,0.0,,683.9723,0.0625,,
683.9922,0,,683.9925,0.0,,684.0122,0.0,,683.9925,0.0,,683.9922,0,,683.9923,0.0,,684.0122,111.0625,,684.0122,28,,683.9922,0.0,,683.9923,0.0,,683.9925,1.30859375,,683.9925,0.0,,683.9923,0.0,,683.9923,0.9375,,
684.0123,0,,684.0126,0.0625,,684.032,0.0,,684.0126,0.0,,684.0123,0,,684.0124,0.0,,684.032,111.0,,684.032,28,,684.0123,0.0,,684.0124,0.0,,684.0126,1.30859375,,684.0126,0.0,,684.0124,0.0,,684.0124,-0.25,,
684.0322,0,,684.0325,0.5625,,684.052,0.0,,684.0325,0.0,,684.0322,0,,684.0323,0.0,,684.052,111.0,,684.052,28,,684.0322,0.0,,684.0323,0.0,,684.0325,1.2890625,,684.0325,0.0,,684.0323,0.0,,684.0323,2.375,,
684.0522,0,,684.0524,-1.0,,684.072,0.0,,684.0525,0.0,,684.0522,0,,684.0523,0.0,,684.072,111.0,,684.072,28,,684.0522,0.0,,684.0523,0.0,,684.0524,1.26171875,,684.0524,0.0,,684.0523,0.0,,684.0523,-0.875,,
684.0722,0,,684.0724,-1.0,,684.092,0.0,,684.0725,0.0,,684.0722,0,,684.0723,0.0,,684.092,111.0625,,684.092,28,,684.0722,0.0,,684.0723,0.0,,684.0724,1.2734375,,684.0724,0.0,,684.0723,0.0,,684.0723,0.3125,,
684.0922,0,,684.0924,-0.5,,684.112,0.0,,684.0925,0.0,,684.0922,0,,684.0923,0.0,,684.112,111.0625,,684.112,28,,684.0922,0.0,,684.0923,0.0,,684.0924,1.26171875,,684.0924,0.0,,684.0923,0.0,,684.0923,-0.25,,
684.1122,0,,684.1124,-0.5,,684.132,0.0,,684.1125,0.0,,684.1122,0,,684.1123,0.0,,684.132,111.0,,684.132,28,,684.1122,0.0,,684.1123,0.0,,684.1124,1.28125,,684.1124,0.0,,684.1123,0.0,,684.1123,-0.5625,,
684.1322,0,,684.1324,-1.0,,684.152,0.0,,684.1325,0.0,,684.1322,0,,684.1323,0.0,,684.152,111.0,,684.152,28,,684.1322,0.0,,684.1323,0.0,,684.1324,1.30859375,,684.1324,0.0,,684.1323,0.0,,684.1323,-0.3125,,
684.1522,0,,684.1524,-1.5,,684.1721,0.0,,684.1525,0.0,,684.1522,0,,684.1523,0.0,,684.1721,111.0,,684.1721,28,,684.1522,0.0,,684.1523,0.0,,684.1524,1.296875,,684.1524,0.0,,684.1523,0.0,,684.1523,-2.3125,,
