latitude;longitude;altitude (m);distance (km)
-33.233;-70.692;554.5;0.0
-33.232;-70.691;559.7;0.212
-33.23;-70.689;558.1;0.427
-33.229;-70.687;563.5;0.652
-33.228;-70.685;564.7;0.95
-33.224;-70.681;568.0;1.431
-33.222;-70.679;571.8;1.731
-33.22;-70.678;573.7;2.008
-33.218;-70.676;579.0;2.242
-33.217;-70.675;581.2;2.47
-33.214;-70.673;586.8;2.768
-33.212;-70.671;590.3;3.094
-33.209;-70.669;598.5;3.44
-33.208;-70.668;604.4;3.675
-33.204;-70.665;612.7;4.163
-33.201;-70.662;618.9;4.564
-33.199;-70.66;625.2;4.841
-33.197;-70.659;628.0;5.086
-33.195;-70.657;636.4;5.329
-33.193;-70.655;645.3;5.639
-33.191;-70.654;652.6;5.897
-33.19;-70.652;657.2;6.126
-33.189;-70.65;663.7;6.347
-33.188;-70.648;675.2;6.552
-33.187;-70.646;696.7;6.774
-33.185;-70.646;685.6;6.981
-33.183;-70.646;682.6;7.181
-33.181;-70.646;686.7;7.404
-33.179;-70.646;691.2;7.606
-33.177;-70.647;693.6;7.823
-33.176;-70.649;707.1;8.042
-33.174;-70.65;723.7;8.277
-33.173;-70.651;734.7;8.477
-33.171;-70.652;737.0;8.705
-33.169;-70.651;736.4;8.92
-33.167;-70.65;738.7;9.125
-33.165;-70.648;744.0;9.424
-33.163;-70.647;750.1;9.665
-33.161;-70.647;750.5;9.866
-33.16;-70.648;750.7;10.083
-33.158;-70.649;748.2;10.287
-33.156;-70.65;743.2;10.499
-33.155;-70.651;739.3;10.724
-33.153;-70.653;736.0;10.945
-33.151;-70.654;731.4;11.194
-33.149;-70.656;728.2;11.462
-33.147;-70.657;723.6;11.735
-33.145;-70.659;719.7;11.945
-33.143;-70.66;716.6;12.234
-33.142;-70.662;712.5;12.442
-33.14;-70.663;709.7;12.688
-33.138;-70.664;704.7;12.905
-33.137;-70.665;703.3;13.109
-33.135;-70.667;700.0;13.325
-33.13;-70.671;689.7;14.022
-33.127;-70.673;684.3;14.345
-33.126;-70.674;681.0;14.597
-33.124;-70.676;680.2;14.87
-33.122;-70.678;679.5;15.14
-33.12;-70.679;680.1;15.37
-33.118;-70.681;680.3;15.577
-33.117;-70.682;680.3;15.787
-33.115;-70.683;682.4;16.018
-33.114;-70.685;684.5;16.221
-33.112;-70.686;685.8;16.429
-33.111;-70.687;685.8;16.66
-33.109;-70.689;688.4;16.865
-33.107;-70.689;689.4;17.069
-33.105;-70.69;689.6;17.31
-33.103;-70.691;692.4;17.601
-33.101;-70.691;692.2;17.822
-33.098;-70.692;693.8;18.092
-33.097;-70.692;693.7;18.296
-33.095;-70.693;693.7;18.499
-33.093;-70.693;692.1;18.718
-33.091;-70.693;691.1;18.928
-33.089;-70.694;686.8;19.14
-33.087;-70.694;685.9;19.409
-33.085;-70.694;683.1;19.613
-33.083;-70.695;686.0;19.824
-33.081;-70.695;689.4;20.037
-33.079;-70.695;682.3;20.274
-33.077;-70.695;680.7;20.482
-33.075;-70.695;675.8;20.731
-33.073;-70.695;674.5;20.935
-33.066;-70.695;670.1;21.712
-33.064;-70.695;670.5;21.936
-33.061;-70.695;673.4;22.246
-33.059;-70.695;675.0;22.526
-33.057;-70.695;676.5;22.73
-33.055;-70.695;678.1;22.974
-33.052;-70.695;675.9;23.287
-33.049;-70.695;675.2;23.546
-33.048;-70.695;676.0;23.754
-33.045;-70.695;678.9;23.993
-33.044;-70.695;684.1;24.194
-33.041;-70.694;686.4;24.427
-33.039;-70.694;690.8;24.742
-33.037;-70.693;692.8;24.966
-33.035;-70.693;696.6;25.182
-33.033;-70.694;700.9;25.398
-33.031;-70.695;707.9;25.644
-33.029;-70.696;709.6;25.86
-33.027;-70.696;709.0;26.072
-33.025;-70.696;707.5;26.272
-33.024;-70.695;708.9;26.481
-33.021;-70.694;712.7;26.735
-33.019;-70.694;720.7;26.965
-33.017;-70.694;730.1;27.235
-33.015;-70.693;734.8;27.473
-33.013;-70.692;733.8;27.737
-33.011;-70.691;736.9;27.937
-33.008;-70.69;751.0;28.276
-33.006;-70.689;761.2;28.534
-33.004;-70.689;768.2;28.764
-33.002;-70.688;768.2;28.977
-33.0;-70.687;770.4;29.188
-32.998;-70.686;770.3;29.401
-32.996;-70.685;774.2;29.64
-32.994;-70.685;791.2;29.893
-32.992;-70.685;805.0;30.123
-32.99;-70.685;818.2;30.343
-32.988;-70.685;826.4;30.599
-32.986;-70.685;842.7;30.805
-32.984;-70.686;852.1;31.043
-32.982;-70.686;858.4;31.253
-32.979;-70.688;896.1;31.623
-32.977;-70.689;911.5;31.883
-32.975;-70.69;934.8;32.146
-32.973;-70.69;949.0;32.365
-32.97;-70.69;960.9;32.668
-32.968;-70.69;965.4;32.868
-32.966;-70.689;982.4;33.13
-32.964;-70.689;1011.9;33.352
-32.961;-70.688;1102.6;33.645
-32.959;-70.687;1189.7;33.891
-32.957;-70.687;1285.6;34.121
