Point;Real time;Power-up time;Asrc;Alod;Apack;Vpack;SOC;DOD;Loads;BalVtg;BalCause;IoState;Flags;Bnk0;Bnk1t;Bnk2;Bnk3;Bnk4;Bnk5;Bnk6;Bnk7;Bnk8;Bnk9;Bnk10;Bnk11;Bnk12;Bnk13;Bnk14;Bnk15;CCL;CCLcause;DCL;DCLcause;WarnFlags;FltFlags;MissBanks;MissBank#;MissCells;-;Vmin;VminNo;VminAvg;Vavg;Vmax;VmaxNo;VmaxAvg;Tmin;TminNo;Tavg;Tmax;TmaxNo;Rmin;RminNo;Ravg;Rmax;RmaxNo;Rpack;Nmonit;Vmonit;Tmonit;TmonitOff;Rmonit;Smonit;Cell 0;Cell 1;Cell 2;Cell 3;Cell 4;Cell 5;Cell 6;Cell 7;Cell 8;Cell 9;Cell 10;Cell 11;Cell 12;Cell 13;Cell 14;Cell 15;Cell 16;Cell 17;Cell 18;Cell 19;Cell 20;Cell 21;Cell 22;Cell 23;Cell 24;Cell 25;Cell 26;Cell 27
0;1/1/2026 15:19;#2401 000:00:58:42;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
1;1/1/2026 15:19;#2401 000:00:58:43;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.81;3.75;3.78;3.78
2;1/1/2026 15:19;#2401 000:00:58:44;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;26;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.75;3.78
3;1/1/2026 15:19;#2401 000:00:58:45;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;26;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
4;1/1/2026 15:19;#2401 000:00:58:46;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.78;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
5;1/1/2026 15:19;#2401 000:00:58:47;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.78;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
6;1/1/2026 15:19;#2401 000:00:58:48;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;26;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.78;3.75;3.78
7;1/1/2026 15:19;#2401 000:00:58:49;0;0.2;0.2;105.9;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;26;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.78;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.81;3.75;3.78;3.78
8;1/1/2026 15:19;#2401 000:00:58:50;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.78;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
9;1/1/2026 15:19;#2401 000:00:58:51;0;0.2;0.2;106;73;61;0;4.55;4;LoadPwr WireContReq Fan ;K2 K3 ;6;7;8;7;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;FF;100;;100;;;;0;;0;;3.75;25;3.75;3.78;3.81;22;3.8;26;25;27;30;21;1;6;2.2;3.1;22;62.7;0;3.81;29;2;;7;3.81;3.75;3.81;3.81;3.78;3.81;3.81;3.81;3.81;3.78;3.78;3.78;3.78;3.81;3.81;3.75;3.75;3.81;3.75;3.75;3.75;3.81;3.81;3.78;3.78;3.75;3.78;3.78
