Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
857.2884,6,,857.2686,0.0,,857.2686,1.1875,,857.2882,6.0625,,857.2687,-76.60000000000001,,857.2884,-53,,857.2886,-7.0,,857.2882,107.75,,857.2882,35,,857.2884,-130.75,,857.2886,-3.125,,857.2686,4.41796875,,857.2686,0.1875,,857.2886,-8.4375,,857.2886,-7.6875,,
857.3084,9,,857.2887,0.0,,857.2887,0.9375,,857.3083,5.0625,,857.2887,-93.5,,857.3084,-53,,857.3085,-9.75,,857.3083,107.75,,857.3083,35,,857.3084,-131.5625,,857.3085,-3.0625,,857.2887,4.42578125,,857.2887,0.1875,,857.3085,-11.75,,857.3085,-10.6875,,
857.3284,13,,857.3087,0.0,,857.3087,0.0,,857.3282,4.375,,857.3087,-94.10000000000001,,857.3284,-53,,857.3286,-12.5,,857.3282,107.6875,,857.3282,35,,857.3284,-132.0,,857.3286,-2.9375,,857.3087,4.40625,,857.3087,0.25,,857.3286,-15.0625,,857.3286,-13.0625,,
857.3484,17,,857.3287,0.0,,857.3287,-0.125,,857.3482,3.8125,,857.3287,-94.4,,857.3484,-53,,857.3485,-15.25,,857.3482,107.6875,,857.3482,35,,857.3484,-131.1875,,857.3485,-3.0625,,857.3287,4.42578125,,857.3287,0.1875,,857.3485,-18.375,,857.3485,-17.3125,,
857.3684,20,,857.3487,0.0,,857.3487,-0.625,,857.3682,3.4375,,857.3487,-93.80000000000001,,857.3684,-52,,857.3685,-18.0,,857.3682,107.6875,,857.3682,35,,857.3684,-132.0,,857.3685,-3.0625,,857.3487,4.41796875,,857.3487,0.25,,857.3685,-21.6875,,857.3685,-20.875,,
857.3884,21,,857.3686,0.0,,857.3686,0.25,,857.3882,3.25,,857.3687,-94.4,,857.3884,-52,,857.3885,-15.375,,857.3882,107.6875,,857.3882,35,,857.3884,-0.125,,857.3885,-3.1875,,857.3686,4.40625,,857.3686,0.0,,857.3885,-18.5,,857.3885,-22.5625,,
857.4084,7,,857.3887,0.0,,857.3887,0.25,,857.4082,2.9375,,857.3887,-0.1,,857.4084,-52,,857.4085,-0.125,,857.4082,107.8125,,857.4082,35,,857.4084,-0.125,,857.4085,-2.4375,,857.3887,4.42578125,,857.3887,0.0625,,857.4085,-0.1875,,857.4085,-6.6875,,
857.4284,0,,857.4086,0.0,,857.4086,1.125,,857.4282,2.4375,,857.4087,-0.1,,857.4284,-51,,857.4285,-0.125,,857.4282,107.75,,857.4282,35,,857.4284,0.0,,857.4285,-2.5,,857.4086,4.40625,,857.4086,0.125,,857.4285,-0.125,,857.4285,-1.5,,
857.4484,0,,857.4287,0.0,,857.4287,1.8125,,857.4482,2.0625,,857.4287,0.0,,857.4484,-51,,857.4485,-0.1875,,857.4482,107.75,,857.4482,35,,857.4484,-24.5625,,857.4485,-2.375,,857.4287,4.42578125,,857.4287,-0.0625,,857.4485,-0.25,,857.4485,-1.0,,
857.4685,4,,857.4486,0.0,,857.4486,-1.5625,,857.4683,1.6875,,857.4487,-17.6,,857.4685,-51,,857.4686,-2.4375,,857.4683,107.75,,857.4683,35,,857.4685,-49.1875,,857.4686,-2.75,,857.4486,4.40625,,857.4486,0.8125,,857.4686,-2.9375,,857.4686,-0.1875,,
857.4884,0,,857.4687,0.0,,857.4687,0.1875,,857.4882,1.4375,,857.4688,-35.2,,857.4884,-51,,857.4885,-5.1875,,857.4882,107.75,,857.4882,35,,857.4884,-73.8125,,857.4885,-2.4375,,857.4687,4.3203125,,857.4687,0.375,,857.4885,-6.25,,857.4885,-4.4375,,
