type,time,latitude,longitude,altitude (m),speed (km/h),course,slope (%),distance (km),distance_interval (m),color,opacity,width,name,desc,activity
T,2022-03-12 21:12:39,-33.601056970,-70.520005320,782.2,0.7,4.6,,0.000,,#0000ff,1.00,4,12 mar. 2022 6:12:36 p. m.,<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>comment</b></td><td></td></tr><tr><td><b>activity</b></td><td>0</td></tr></table>,0
T,2022-03-12 21:13:22,-33.601098450,-70.520126970,781.7,1.0,4.7,-3.6,0.012,12.19,,,,,,
T,2022-03-12 21:13:26,-33.601144880,-70.520269620,781.2,12.8,4.7,-3.6,0.026,14.21,,,,,,
T,2022-03-12 21:13:28,-33.601165320,-70.520380870,780.9,19.0,4.7,-3.2,0.037,10.57,,,,,,
T,2022-03-12 21:13:30,-33.601190820,-70.520514530,780.5,22.9,4.7,-3.2,0.050,12.72,,,,,,
T,2022-03-12 21:13:32,-33.601195380,-70.520665020,780.1,25.2,4.7,-2.7,0.064,13.98,,,,,,
T,2022-03-12 21:13:34,-33.601210730,-70.520829720,779.6,27.7,4.6,-2.9,0.079,15.38,,,,,,
T,2022-03-12 21:13:36,-33.601232800,-70.521002030,779.0,29.1,4.7,-3.8,0.095,16.18,,,,,,
T,2022-03-12 21:13:38,-33.601231580,-70.521196250,778.4,32.4,4.7,-3.3,0.113,18.03,,,,,,
T,2022-03-12 21:13:40,-33.601227120,-70.521415470,777.8,36.6,4.7,-3.3,0.134,20.35,,,,,,
T,2022-03-12 21:13:41,-33.601227700,-70.521524480,777.4,36.4,4.7,-3.3,0.144,10.12,,,,,,
T,2022-03-12 21:13:42,-33.601231200,-70.521635870,777.1,37.2,4.7,-3.3,0.154,10.35,,,,,,
T,2022-03-12 21:13:43,-33.601227480,-70.521750730,776.9,38.4,4.7,-1.8,0.165,10.67,,,,,,
T,2022-03-12 21:13:44,-33.601222250,-70.521870630,776.8,40.1,4.7,-1.2,0.176,11.14,,,,,,
T,2022-03-12 21:13:45,-33.601225930,-70.521989950,776.6,39.9,4.7,-1.2,0.187,11.08,,,,,,
T,2022-03-12 21:13:46,-33.601229330,-70.522118080,776.5,42.8,4.7,-1.3,0.199,11.90,,,,,,
T,2022-03-12 21:13:47,-33.601235750,-70.522254120,776.3,45.5,4.7,-1.3,0.212,12.65,,,,,,
T,2022-03-12 21:13:48,-33.601241330,-70.522389300,776.2,45.2,4.7,-1.3,0.224,12.56,,,,,,
T,2022-03-12 21:13:49,-33.601250130,-70.522530220,776.1,47.2,4.7,-0.7,0.237,13.12,,,,,,
T,2022-03-12 21:13:50,-33.601256020,-70.522678250,776.3,49.5,4.7,1.8,0.251,13.75,,,,,,
T,2022-03-12 21:13:51,-33.601259620,-70.522830570,776.5,50.9,4.7,1.7,0.265,14.14,,,,,,
T,2022-03-12 21:13:52,-33.601261670,-70.522981170,776.8,50.3,4.7,1.7,0.279,13.98,,,,,,
T,2022-03-12 21:13:53,-33.601260920,-70.523133630,777.0,50.9,4.7,1.9,0.293,14.15,,,,,,
T,2022-03-12 21:13:54,-33.601262770,-70.523296920,777.3,54.6,4.7,1.7,0.308,15.16,,,,,,
T,2022-03-12 21:13:55,-33.601270220,-70.523464000,777.0,55.9,4.7,-1.7,0.324,15.53,,,,,,
T,2022-03-12 21:13:56,-33.601277270,-70.523630650,776.7,55.8,4.7,-2.5,0.339,15.49,,,,,,
T,2022-03-12 21:13:57,-33.601292230,-70.523808550,776.2,59.7,4.7,-3.0,0.356,16.59,,,,,,
T,2022-03-12 21:13:58,-33.601298600,-70.523991550,775.7,61.2,4.7,-2.4,0.373,17.00,,,,,,
T,2022-03-12 21:13:59,-33.601318980,-70.524171750,775.2,60.8,4.7,-3.4,0.390,16.88,,,,,,
T,2022-03-12 21:14:00,-33.601318330,-70.524347850,775.2,58.8,4.7,0.2,0.406,16.34,,,,,,
T,2022-03-12 21:14:01,-33.601308800,-70.524521770,775.4,58.2,4.7,1.0,0.422,16.18,,,,,,
T,2022-03-12 21:14:02,-33.601303680,-70.524692020,775.5,56.9,4.7,0.7,0.438,15.81,,,,,,
T,2022-03-12 21:14:03,-33.601297100,-70.524838900,775.6,49.1,4.7,1.0,0.452,13.65,,,,,,
T,2022-03-12 21:14:04,-33.601296670,-70.524979020,775.7,46.8,4.7,0.3,0.465,13.01,,,,,,
T,2022-03-12 21:14:05,-33.601302080,-70.525118330,775.3,46.6,4.7,-2.6,0.478,12.94,,,,,,
T,2022-03-12 21:14:06,-33.601314570,-70.525265120,774.8,49.3,4.7,-3.8,0.491,13.69,,,,,,
T,2022-03-12 21:14:07,-33.601315650,-70.525414080,774.5,49.8,4.7,-2.3,0.505,13.83,,,,,,
T,2022-03-12 21:14:08,-33.601319550,-70.525562100,774.1,49.5,4.7,-2.6,0.519,13.75,,,,,,
T,2022-03-12 21:14:09,-33.601320480,-70.525702670,773.8,47.0,4.7,-2.3,0.532,13.05,,,,,,
T,2022-03-12 21:14:10,-33.601323830,-70.525840670,773.5,46.1,4.7,-2.3,0.545,12.81,,,,,,
T,2022-03-12 21:14:11,-33.601322270,-70.525963330,773.8,41.0,4.6,1.9,0.556,11.39,,,,,,
T,2022-03-12 21:14:12,-33.601336080,-70.526082120,773.8,40.1,4.6,0.3,0.567,11.13,,,,,,
T,2022-03-12 21:14:13,-33.601356580,-70.526195030,773.7,38.6,4.5,-0.3,0.578,10.72,,,,,,
T,2022-03-12 21:14:14,-33.601392330,-70.526297070,773.6,37.0,4.3,-1.9,0.588,10.27,,,,,,
T,2022-03-12 21:14:15,-33.601443700,-70.526392700,773.2,38.0,4.1,-3.0,0.599,10.55,,,,,,
T,2022-03-12 21:14:16,-33.601511880,-70.526480650,772.8,40.1,4.0,-4.0,0.610,11.13,,,,,,
T,2022-03-12 21:14:17,-33.601590450,-70.526557570,772.3,40.6,3.8,-4.4,0.621,11.27,,,,,,
T,2022-03-12 21:14:18,-33.601670720,-70.526611930,771.8,36.8,3.6,-4.8,0.632,10.23,,,,,,
T,2022-03-12 21:14:19,-33.601762030,-70.526650280,771.8,38.6,3.5,0.4,0.642,10.73,,,,,,
T,2022-03-12 21:14:20,-33.601861500,-70.526676250,771.8,40.7,3.3,-0.6,0.654,11.29,,,,,,
T,2022-03-12 21:14:21,-33.601962820,-70.526669700,771.6,40.5,3.0,-1.1,0.665,11.25,,,,,,
T,2022-03-12 21:14:22,-33.602053880,-70.526634130,771.5,38.3,2.8,-1.1,0.676,10.63,,,,,,
T,2022-03-12 21:14:23,-33.602138550,-70.526581430,771.5,38.1,2.6,-0.5,0.686,10.59,,,,,,
T,2022-03-12 21:14:24,-33.602224430,-70.526500550,771.5,43.7,2.6,0.5,0.698,12.13,,,,,,
T,2022-03-12 21:14:25,-33.602296920,-70.526402520,771.7,43.7,2.2,1.6,0.710,12.14,,,,,,
T,2022-03-12 21:14:27,-33.602364870,-70.526205650,772.3,35.6,1.8,2.8,0.730,19.77,,,,,,
T,2022-03-12 21:14:28,-33.602382530,-70.526092480,772.6,38.5,1.7,3.2,0.741,10.68,,,,,,
T,2022-03-12 21:14:29,-33.602386570,-70.525978520,772.9,38.1,1.6,3.0,0.751,10.59,,,,,,
T,2022-03-12 21:14:30,-33.602379900,-70.525858320,773.2,40.3,1.5,2.5,0.763,11.18,,,,,,
T,2022-03-12 21:14:31,-33.602371430,-70.525736930,772.9,40.7,1.5,-2.5,0.774,11.31,,,,,,
T,2022-03-12 21:14:32,-33.602360820,-70.525621870,772.5,38.7,1.5,-3.8,0.785,10.74,,,,,,
T,2022-03-12 21:14:33,-33.602349730,-70.525509920,772.1,37.7,1.5,-3.7,0.795,10.46,,,,,,
T,2022-03-12 21:14:34,-33.602336780,-70.525399150,771.8,37.4,1.5,-3.7,0.805,10.38,,,,,,
T,2022-03-12 21:14:35,-33.602327080,-70.525290480,771.4,36.5,1.4,-3.5,0.816,10.14,,,,,,
T,2022-03-12 21:14:36,-33.602310030,-70.525178650,771.0,38.0,1.4,-3.5,0.826,10.55,,,,,,
T,2022-03-12 21:14:37,-33.602291000,-70.525068230,770.7,37.7,1.4,-3.4,0.837,10.46,,,,,,
T,2022-03-12 21:14:38,-33.602278850,-70.524956970,770.5,37.5,1.5,-2.1,0.847,10.41,,,,,,
