Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
5.9459,113,,5.9462,0.0,,5.9462,-0.125,,5.9458,14.9375,,5.9462,-68.5,,5.9459,-20,,5.946,-95.6875,,5.9458,107.4375,,5.9458,36,,5.9459,-95.8125,,5.946,-4.125,,5.9462,3.63671875,,5.9462,-0.3125,,5.946,-115.125,,5.946,-114.0,,
5.9659,115,,5.9661,0.0,,5.9661,1.4375,,5.9658,15.0,,5.9662,-67.8,,5.9659,-20,,5.966,-95.3125,,5.9658,107.375,,5.9658,36,,5.9659,-94.8125,,5.966,-3.8125,,5.9661,3.63671875,,5.9661,-0.9375,,5.966,-114.6875,,5.966,-115.8125,,
5.9859,115,,5.9861,0.0,,5.9861,-0.25,,5.9858,15.0625,,5.9862,-68.9,,5.9859,-20,,5.986,-95.5625,,5.9858,107.375,,5.9858,36,,5.9859,-96.3125,,5.986,-4.125,,5.9861,3.609375,,5.9861,-0.25,,5.986,-115.0,,5.986,-113.75,,
6.0059,117,,6.0061,0.0,,6.0061,-0.5,,6.0058,15.125,,6.0062,-68.9,,6.0059,-20,,6.006,-96.3125,,6.0058,107.375,,6.0058,36,,6.0059,-96.3125,,6.006,-3.8125,,6.0061,3.58984375,,6.0061,-0.1875,,6.006,-115.875,,6.006,-116.625,,
6.0259,117,,6.0261,0.0,,6.0261,-0.75,,6.0258,15.1875,,6.0262,-68.0,,6.0259,-20,,6.026,-95.6875,,6.0258,107.4375,,6.0258,36,,6.0259,-95.0625,,6.026,-4.125,,6.0261,3.58984375,,6.0261,-0.0625,,6.026,-115.125,,6.026,-115.8125,,
6.0459,113,,6.0461,0.0,,6.0461,-1.5,,6.0457,15.1875,,6.0462,-67.4,,6.0459,-21,,6.046,-94.6875,,6.0457,107.375,,6.0457,36,,6.0459,-94.25,,6.046,-4.1875,,6.0461,3.609375,,6.0461,0.25,,6.046,-113.875,,6.046,-113.1875,,
6.0659,113,,6.0661,0.0,,6.0661,-0.1875,,6.0657,15.1875,,6.0662,-67.4,,6.0659,-21,,6.066,-94.25,,6.0657,107.375,,6.0657,36,,6.0659,-94.25,,6.066,-3.9375,,6.0661,3.6015625,,6.0661,0.1875,,6.066,-113.375,,6.066,-113.4375,,
6.0859,114,,6.0861,0.0,,6.0861,-1.25,,6.0857,15.1875,,6.0862,-68.0,,6.0859,-21,,6.086,-94.6875,,6.0857,107.375,,6.0857,36,,6.0859,-95.0625,,6.086,-3.6875,,6.0861,3.58203125,,6.0861,0.0625,,6.086,-113.875,,6.086,-115.0625,,
6.1059,113,,6.1061,0.0,,6.1061,-1.0625,,6.1058,15.125,,6.1062,-67.8,,6.1059,-21,,6.106,-94.9375,,6.1058,107.4375,,6.1058,36,,6.1059,-94.8125,,6.106,-4.0625,,6.1061,3.6015625,,6.1061,0.0,,6.106,-114.25,,6.106,-115.1875,,
6.1258,114,,6.1261,0.0,,6.1261,-0.1875,,6.1257,15.125,,6.1262,-67.2,,6.1258,-21,,6.126,-94.375,,6.1257,107.4375,,6.1257,36,,6.1258,-93.9375,,6.126,-4.0,,6.1261,3.6015625,,6.1261,-0.25,,6.126,-113.5625,,6.126,-114.5,,
6.1458,112,,6.1461,0.0,,6.1461,0.5,,6.1457,15.125,,6.1462,-67.8,,6.1458,-21,,6.146,-94.375,,6.1457,107.4375,,6.1457,36,,6.1458,-94.8125,,6.146,-4.0625,,6.1461,3.63671875,,6.1461,-0.3125,,6.146,-113.5625,,6.146,-113.5,,
