Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
145.7926,0,,145.7728,0.0,,145.7728,-0.375,,145.7924,0.0,,145.7729,0.0,,145.7926,0,,145.7927,0.0,,145.7924,108.0625,,145.7924,37,,145.7926,0.0,,145.7927,0.0,,145.7728,2.265625,,145.7728,0.0,,145.7927,0.0,,145.7927,0.3125,,
145.8126,0,,145.7928,0.0,,145.7928,0.8125,,145.8124,0.0,,145.7929,0.0,,145.8126,0,,145.8127,0.0,,145.8124,108.0625,,145.8124,37,,145.8126,0.0,,145.8127,0.0,,145.7928,2.2734375,,145.7928,0.0,,145.8127,0.0,,145.8127,0.5625,,
145.8326,0,,145.8128,0.0,,145.8128,1.75,,145.8324,0.0,,145.8129,0.0,,145.8326,0,,145.8327,0.0,,145.8324,108.0625,,145.8324,38,,145.8326,0.0,,145.8327,0.0,,145.8128,2.2890625,,145.8128,0.0,,145.8327,0.0,,145.8327,1.5625,,
145.8525,0,,145.8328,0.0,,145.8328,1.9375,,145.8524,0.0,,145.8329,0.0,,145.8525,0,,145.8527,0.0,,145.8524,108.0625,,145.8524,38,,145.8525,0.0,,145.8527,0.0,,145.8328,2.24609375,,145.8328,0.0,,145.8527,0.0,,145.8527,-0.3125,,
145.8726,0,,145.8528,0.0,,145.8528,-0.875,,145.8724,0.0,,145.8529,0.0,,145.8726,0,,145.8727,0.0,,145.8724,108.0625,,145.8724,37,,145.8726,0.0,,145.8727,0.0,,145.8528,2.23046875,,145.8528,0.0,,145.8727,0.0,,145.8727,-0.875,,
145.8925,0,,145.8728,0.0,,145.8728,-1.6875,,145.8924,0.0,,145.8729,0.0,,145.8925,0,,145.8927,0.0,,145.8924,108.0625,,145.8924,37,,145.8925,0.0,,145.8927,0.0,,145.8728,2.22265625,,145.8728,0.0,,145.8927,0.0,,145.8927,0.3125,,
145.9126,0,,145.8928,0.0,,145.8928,0.0625,,145.9124,0.0,,145.8928,0.0,,145.9126,0,,145.9127,0.0,,145.9124,108.0625,,145.9124,37,,145.9126,0.0,,145.9127,0.0,,145.8928,2.23046875,,145.8928,0.0,,145.9127,0.0,,145.9127,0.4375,,
145.9326,0,,145.9128,0.0,,145.9128,-0.5,,145.9324,0.0,,145.9129,0.0,,145.9326,0,,145.9327,0.0,,145.9324,108.0,,145.9324,37,,145.9326,0.0,,145.9327,0.0,,145.9128,2.23828125,,145.9128,0.0,,145.9327,0.0,,145.9327,-0.125,,
145.9526,0,,145.9328,0.0,,145.9328,-0.3125,,145.9524,0.0,,145.9329,0.0,,145.9526,0,,145.9527,0.0,,145.9524,108.125,,145.9524,37,,145.9526,0.0,,145.9527,0.0,,145.9328,2.265625,,145.9328,0.0,,145.9527,0.0,,145.9527,1.25,,
145.9727,0,,145.9528,0.0,,145.9528,0.25,,145.9724,0.0,,145.9529,0.0,,145.9727,0,,145.9728,0.0,,145.9724,108.0625,,145.9724,37,,145.9727,0.0,,145.9728,0.0,,145.9528,2.24609375,,145.9528,0.0,,145.9728,0.0,,145.9728,0.6875,,
145.9927,0,,145.9729,0.0,,145.9729,0.5,,145.9924,0.0,,145.973,0.0,,145.9927,0,,145.9928,0.0,,145.9924,108.0625,,145.9924,37,,145.9927,0.0,,145.9928,0.0,,145.9729,2.25390625,,145.9729,0.0,,145.9928,0.0,,145.9928,0.0625,,
146.0126,0,,145.9929,0.0,,145.9929,1.25,,146.0124,0.0,,145.993,0.0,,146.0126,0,,146.0128,0.0,,146.0124,108.125,,146.0124,38,,146.0126,0.0,,146.0128,0.0,,145.9929,2.24609375,,145.9929,0.0,,146.0128,0.0,,146.0128,-0.125,,
146.0327,0,,146.0129,0.0,,146.0129,-0.3125,,146.0324,0.0,,146.013,0.0,,146.0327,0,,146.0328,0.0,,146.0324,108.0625,,146.0324,37,,146.0327,0.0,,146.0328,0.0,,146.0129,2.2734375,,146.0129,0.0,,146.0328,0.0,,146.0328,0.3125,,
146.0526,0,,146.0329,0.0,,146.0329,0.0625,,146.0524,0.0,,146.033,0.0,,146.0526,0,,146.0528,0.0,,146.0524,108.125,,146.0524,37,,146.0526,0.0,,146.0528,0.0,,146.0329,2.2734375,,146.0329,0.0,,146.0528,0.0,,146.0528,0.0,,
146.0726,0,,146.0529,0.0,,146.0529,-0.875,,146.0724,0.0,,146.053,0.0,,146.0726,0,,146.0728,0.0,,146.0724,108.0625,,146.0724,37,,146.0726,0.0,,146.0728,0.0,,146.0529,2.2734375,,146.0529,0.0,,146.0728,0.0,,146.0728,1.125,,
146.0926,0,,146.0729,0.0,,146.0729,0.875,,146.0924,0.0,,146.0729,0.0,,146.0926,0,,146.0928,0.0,,146.0924,108.125,,146.0924,38,,146.0926,0.0,,146.0928,0.0,,146.0729,2.24609375,,146.0729,0.0,,146.0928,0.0,,146.0928,0.8125,,
146.1127,0,,146.0929,0.0,,146.0929,-0.125,,146.1126,0.0,,146.0929,0.0,,146.1127,0,,146.1128,0.0,,146.1126,108.125,,146.1126,38,,146.1127,0.0,,146.1128,0.0,,146.0929,2.23828125,,146.0929,0.0,,146.1128,0.0,,146.1128,-0.125,,
146.1326,0,,146.113,0.0,,146.113,-0.3125,,146.1324,0.0,,146.113,0.0,,146.1326,0,,146.1327,0.0,,146.1324,108.125,,146.1324,38,,146.1326,0.0,,146.1327,0.0,,146.113,2.30078125,,146.113,0.0,,146.1327,0.0,,146.1327,-0.875,,
146.1526,0,,146.1329,0.0,,146.1329,-0.875,,146.1524,0.0,,146.1329,0.0,,146.1526,0,,146.1527,0.0,,146.1524,108.0,,146.1524,37,,146.1526,0.0,,146.1527,0.0,,146.1329,2.30859375,,146.1329,0.0,,146.1527,0.0,,146.1527,0.6875,,
146.1726,0,,146.1529,0.0,,146.1529,0.5,,146.1724,0.0,,146.1529,0.0,,146.1726,0,,146.1727,0.0,,146.1724,108.125,,146.1724,37,,146.1726,0.0,,146.1727,0.0,,146.1529,2.2890625,,146.1529,0.0,,146.1727,0.0,,146.1727,-0.25,,
146.1926,0,,146.1728,0.0,,146.1728,0.3125,,146.1924,0.0,,146.1729,0.0,,146.1926,0,,146.1927,0.0,,146.1924,108.125,,146.1924,38,,146.1926,0.0,,146.1927,0.0,,146.1728,2.2890625,,146.1728,0.0,,146.1927,0.0,,146.1927,0.0,,
146.2126,0,,146.1928,0.0,,146.1928,-0.875,,146.2124,0.0,,146.1929,0.0,,146.2126,0,,146.2127,0.0,,146.2124,108.125,,146.2124,38,,146.2126,0.0,,146.2127,0.0,,146.1928,2.2890625,,146.1928,0.0,,146.2127,0.0,,146.2127,0.4375,,
146.2326,0,,146.2128,0.0,,146.2128,-0.5,,146.2324,0.0,,146.2129,0.0,,146.2326,0,,146.2327,0.0,,146.2324,108.0625,,146.2324,38,,146.2326,0.0,,146.2327,0.0,,146.2128,2.28125,,146.2128,0.0,,146.2327,0.0,,146.2327,0.0625,,
146.2526,0,,146.2328,0.0,,146.2328,1.25,,146.2524,0.0,,146.2329,0.0,,146.2526,0,,146.2527,0.0,,146.2524,108.0625,,146.2524,37,,146.2526,0.0,,146.2527,0.0,,146.2328,2.24609375,,146.2328,0.0,,146.2527,0.0,,146.2527,-0.375,,
146.2726,0,,146.2528,0.0,,146.2528,0.875,,146.2724,0.0,,146.2529,0.0,,146.2726,0,,146.2727,0.0,,146.2724,108.125,,146.2724,38,,146.2726,0.0,,146.2727,0.0,,146.2528,2.22265625,,146.2528,0.0,,146.2727,0.0,,146.2727,-0.125,,
146.2926,0,,146.2728,0.0,,146.2728,-0.3125,,146.2924,0.0,,146.2729,0.0,,146.2926,0,,146.2927,0.0,,146.2924,108.0625,,146.2924,37,,146.2926,0.0,,146.2927,0.0,,146.2728,2.23828125,,146.2728,0.0,,146.2927,0.0,,146.2927,-0.5,,
146.3126,0,,146.2928,0.0,,146.2928,1.4375,,146.3124,0.0,,146.2929,0.0,,146.3126,0,,146.3127,0.0,,146.3124,108.0625,,146.3124,37,,146.3126,0.0,,146.3127,0.0,,146.2928,2.265625,,146.2928,0.0,,146.3127,0.0,,146.3127,0.5625,,
146.3326,0,,146.3128,0.0,,146.3128,1.0625,,146.3324,0.0,,146.3129,0.0,,146.3326,0,,146.3327,0.0,,146.3324,108.0625,,146.3324,37,,146.3326,0.0,,146.3327,0.0,,146.3128,2.25390625,,146.3128,0.0,,146.3327,0.0,,146.3327,0.125,,
146.3526,0,,146.3328,0.0,,146.3328,0.6875,,146.3524,0.0,,146.3329,0.0,,146.3526,0,,146.3527,0.0,,146.3524,108.0625,,146.3524,37,,146.3526,0.0,,146.3527,0.0,,146.3328,2.22265625,,146.3328,0.0,,146.3527,0.0,,146.3527,0.125,,
146.3725,0,,146.3528,0.0,,146.3528,0.6875,,146.3723,0.0,,146.3529,0.0,,146.3725,0,,146.3727,0.0,,146.3723,108.125,,146.3723,37,,146.3725,0.0,,146.3727,0.0,,146.3528,2.23046875,,146.3528,0.0,,146.3727,0.0,,146.3727,-0.25,,
146.3925,0,,146.3728,0.0,,146.3728,0.3125,,146.3923,0.0,,146.3729,0.0,,146.3925,0,,146.3927,0.0,,146.3923,108.0625,,146.3923,38,,146.3925,0.0,,146.3927,0.0,,146.3728,2.265625,,146.3728,0.0,,146.3927,0.0,,146.3927,-0.25,,
146.4125,0,,146.3928,0.0,,146.3928,0.3125,,146.4123,0.0,,146.3928,0.0,,146.4125,0,,146.4127,0.0,,146.4123,108.125,,146.4123,37,,146.4125,0.0,,146.4127,0.0,,146.3928,2.28125,,146.3928,0.0,,146.4127,0.0,,146.4127,0.0625,,
146.4325,0,,146.4128,0.0,,146.4128,1.25,,146.4323,0.0,,146.4129,0.0,,146.4325,0,,146.4327,0.0,,146.4323,108.125,,146.4323,37,,146.4325,0.0,,146.4327,0.0,,146.4128,2.25390625,,146.4128,0.0,,146.4327,0.0,,146.4327,-0.125,,
