Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
3927.0104,0,,3926.9904,0.0,,3926.9904,-0.1875,,3927.0104,0.0,,3926.9908,0.0,,3927.0104,-17,,3927.0104,0.0,,3927.0104,108.25,,3927.0104,57,,3927.0104,0.0,,3927.0104,-0.1875,,3926.9904,1.359375,,3926.9904,0.1875,,3927.0104,0.0,,3927.0104,-1.75,,
3927.0304,0,,3927.0104,0.0,,3927.0104,0.4375,,3927.03,0.0,,3927.0108,0.0,,3927.0304,-16,,3927.0304,0.0,,3927.03,108.25,,3927.03,57,,3927.0304,0.0,,3927.0304,-0.6875,,3927.0104,1.3515625,,3927.0104,-0.0625,,3927.0304,0.0,,3927.0304,-2.25,,
3927.0504,0,,3927.0308,0.0,,3927.0308,0.75,,3927.05,0.0,,3927.0308,0.0,,3927.0504,-16,,3927.0504,0.0,,3927.05,108.25,,3927.05,57,,3927.0504,0.0,,3927.0504,-0.4375,,3927.0308,1.37890625,,3927.0308,0.0,,3927.0504,0.0,,3927.0504,-0.25,,
3927.0704,0,,3927.0508,0.0,,3927.0508,-1.0,,3927.07,0.0,,3927.0508,0.0,,3927.0704,-16,,3927.0704,0.0,,3927.07,108.3125,,3927.07,57,,3927.0704,0.0,,3927.0704,-0.25,,3927.0508,1.421875,,3927.0508,0.5,,3927.0704,0.0,,3927.0704,-1.1875,,
3927.0904,0,,3927.0708,0.0,,3927.0708,0.3125,,3927.09,0.0,,3927.0708,0.0,,3927.0904,-16,,3927.0904,0.0,,3927.09,108.1875,,3927.09,57,,3927.0904,0.0,,3927.0904,-0.1875,,3927.0708,1.4375,,3927.0708,-0.0625,,3927.0904,0.0,,3927.0904,-2.0625,,
3927.1104,0,,3927.0908,0.0,,3927.0908,-1.4375,,3927.11,0.0,,3927.0908,0.0,,3927.1104,-16,,3927.1104,0.0,,3927.11,108.1875,,3927.11,57,,3927.1104,0.0,,3927.1104,-0.625,,3927.0908,1.45703125,,3927.0908,0.375,,3927.1104,0.0,,3927.1104,1.375,,
3927.1304,0,,3927.1104,0.0,,3927.1104,1.0625,,3927.13,0.0,,3927.1104,0.0,,3927.1304,-16,,3927.1304,0.0,,3927.13,108.1875,,3927.13,57,,3927.1304,0.0,,3927.1304,-0.375,,3927.1104,1.47265625,,3927.1104,0.0,,3927.1304,0.0,,3927.1304,-0.75,,
3927.1504,0,,3927.1304,0.0,,3927.1304,1.1875,,3927.15,0.0,,3927.1304,0.0,,3927.1504,-16,,3927.1504,0.0,,3927.15,108.25,,3927.15,57,,3927.1504,0.0,,3927.1504,0.375,,3927.1304,1.46484375,,3927.1304,-0.1875,,3927.1504,0.0,,3927.1504,-1.875,,
3927.1704,0,,3927.1504,0.0,,3927.1504,1.375,,3927.1704,0.0,,3927.1504,0.0,,3927.1704,-16,,3927.1704,0.0,,3927.1704,108.25,,3927.1704,57,,3927.1704,0.0,,3927.1704,-0.5625,,3927.1504,1.46484375,,3927.1504,-0.4375,,3927.1704,0.0,,3927.1704,0.625,,
3927.19,0,,3927.1704,0.0,,3927.1704,0.0,,3927.19,0.0,,3927.1708,0.0,,3927.19,-16,,3927.1904,0.0,,3927.19,108.1875,,3927.19,57,,3927.19,0.0,,3927.1904,-0.8125,,3927.1704,1.46484375,,3927.1704,-0.25,,3927.1904,0.0,,3927.1904,0.875,,
3927.2104,0,,3927.1904,0.0,,3927.1904,-0.75,,3927.21,0.0,,3927.1908,0.0,,3927.2104,-16,,3927.2104,0.0,,3927.21,108.1875,,3927.21,57,,3927.2104,0.0,,3927.2104,-1.125,,3927.1904,1.484375,,3927.1904,0.0,,3927.2104,0.0,,3927.2104,0.875,,
3927.2304,0,,3927.2104,0.0,,3927.2104,-0.8125,,3927.23,0.0,,3927.2108,0.0,,3927.2304,-15,,3927.2304,0.0,,3927.23,108.1875,,3927.23,57,,3927.2304,0.0,,3927.2304,-1.25,,3927.2104,1.4921875,,3927.2104,-0.0625,,3927.2304,0.0,,3927.2304,1.0625,,
3927.2504,0,,3927.2308,0.0,,3927.2308,1.5,,3927.25,0.0,,3927.2308,0.0,,3927.2504,-15,,3927.2504,0.0,,3927.25,108.25,,3927.25,57,,3927.2504,0.0,,3927.2504,-0.9375,,3927.2308,1.5078125,,3927.2308,-0.6875,,3927.2504,0.0,,3927.2504,-0.625,,
3927.2704,0,,3927.2508,0.0,,3927.2508,-1.625,,3927.27,0.0,,3927.2508,0.0,,3927.2704,-15,,3927.2704,-0.125,,3927.27,108.1875,,3927.27,57,,3927.2704,-0.25,,3927.2704,-0.6875,,3927.2508,1.5,,3927.2508,0.4375,,3927.2704,-0.1875,,3927.2704,-0.625,,
3927.2904,0,,3927.2704,0.0,,3927.2704,0.4375,,3927.29,0.0,,3927.2704,-0.2,,3927.2904,-15,,3927.2904,-0.125,,3927.29,108.1875,,3927.29,57,,3927.2904,0.0,,3927.2904,-0.5,,3927.2704,1.4921875,,3927.2704,0.25,,3927.2904,-0.1875,,3927.2904,-1.0625,,
3927.3104,0,,3927.2904,0.0,,3927.2904,-0.6875,,3927.31,0.0,,3927.2904,0.0,,3927.3104,-15,,3927.3104,0.0,,3927.31,108.1875,,3927.31,57,,3927.3104,0.0,,3927.3104,-0.6875,,3927.2904,1.5078125,,3927.2904,0.375,,3927.3104,0.0,,3927.3104,-0.5625,,
3927.3304,0,,3927.3104,0.0,,3927.3104,-1.5,,3927.33,0.0,,3927.3104,0.0,,3927.3304,-15,,3927.3304,-0.125,,3927.33,108.25,,3927.33,57,,3927.3304,-0.25,,3927.3304,-0.125,,3927.3104,1.5546875,,3927.3104,0.9375,,3927.3304,-0.1875,,3927.3304,-2.3125,,
3927.35,0,,3927.3304,0.0,,3927.3304,-0.875,,3927.35,0.0,,3927.3304,-0.2,,3927.35,-15,,3927.3504,-1.3125,,3927.35,108.1875,,3927.35,57,,3927.35,-2.375,,3927.3504,0.1875,,3927.3304,1.5703125,,3927.3304,0.375,,3927.3504,-1.625,,3927.3504,-2.5,,
3927.37,0,,3927.3504,0.0,,3927.3504,0.5,,3927.37,0.0,,3927.3504,-1.7000000000000002,,3927.37,-15,,3927.3704,-2.75,,3927.37,108.1875,,3927.37,57,,3927.37,-3.0625,,3927.3704,-0.25,,3927.3504,1.5546875,,3927.3504,0.5625,,3927.3704,-3.3125,,3927.3704,-2.6875,,
3927.39,0,,3927.3704,0.0,,3927.3704,0.3125,,3927.39,0.0,,3927.3708,-2.2,,3927.39,-15,,3927.3904,-2.75,,3927.39,108.1875,,3927.39,57,,3927.39,-2.375,,3927.3904,0.1875,,3927.3704,1.578125,,3927.3704,0.25,,3927.3904,-3.3125,,3927.3904,-3.8125,,
3927.4104,4,,3927.3904,0.0,,3927.3904,0.6875,,3927.41,0.0,,3927.3908,-1.7000000000000002,,3927.4104,-15,,3927.4104,-2.9375,,3927.41,108.1875,,3927.41,57,,3927.4104,-3.4375,,3927.4104,-0.25,,3927.3904,1.578125,,3927.3904,0.0625,,3927.4104,-3.5625,,3927.4104,-3.6875,,
3927.4304,0,,3927.4108,0.0,,3927.4108,0.75,,3927.43,0.0,,3927.4108,-2.5,,3927.4304,-14,,3927.4304,-3.4375,,3927.43,108.1875,,3927.43,57,,3927.4304,-3.4375,,3927.4304,-0.3125,,3927.4108,1.5703125,,3927.4108,-0.25,,3927.4304,-4.1875,,3927.4304,-3.1875,,
3927.4504,0,,3927.4304,0.0,,3927.4304,1.875,,3927.4504,0.0,,3927.4304,-2.5,,3927.4504,-14,,3927.4504,-3.25,,3927.4504,108.25,,3927.4504,57,,3927.4504,-3.0625,,3927.4504,-0.875,,3927.4304,1.5703125,,3927.4304,-0.5625,,3927.4504,-3.9375,,3927.4504,-3.4375,,
3927.4704,0,,3927.4504,0.0,,3927.4504,0.8125,,3927.4704,0.0625,,3927.4504,-2.2,,3927.4704,-14,,3927.4704,-3.0625,,3927.4704,108.25,,3927.4704,57,,3927.4704,-3.0625,,3927.4704,-0.875,,3927.4504,1.61328125,,3927.4504,-0.3125,,3927.4704,-3.75,,3927.4704,-3.625,,
3927.4904,4,,3927.4704,0.0,,3927.4704,-0.6875,,3927.4904,0.0625,,3927.4704,-2.2,,3927.4904,-14,,3927.4904,-4.0625,,3927.4904,108.1875,,3927.4904,57,,3927.4904,-5.0,,3927.4904,-1.3125,,3927.4704,1.59765625,,3927.4704,0.0625,,3927.4904,-4.875,,3927.4904,-3.125,,
3927.5104,0,,3927.4904,0.0,,3927.4904,0.5625,,3927.51,0.0625,,3927.4908,-3.6,,3927.5104,-14,,3927.5104,-4.6875,,3927.51,108.1875,,3927.51,57,,3927.5104,-4.3125,,3927.5104,-1.4375,,3927.4904,1.59765625,,3927.4904,-0.375,,3927.5104,-5.625,,3927.5104,-4.375,,
3927.5304,4,,3927.5104,0.0,,3927.5104,-0.6875,,3927.53,0.0625,,3927.5108,-3.1,,3927.5304,-14,,3927.5304,-4.3125,,3927.53,108.25,,3927.53,57,,3927.5304,-4.3125,,3927.5304,-1.3125,,3927.5104,1.61328125,,3927.5104,0.0,,3927.5304,-5.25,,3927.5304,-5.875,,
