Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
380.1018,232,,380.1021,0.0,,380.1021,144.5625,,380.1016,27.0625,,380.1022,-86.7,,380.1018,653,,380.102,-139.875,,380.1016,106.4375,,380.1016,38,,380.1018,-121.25,,380.102,-5.8125,,0.0,0,,380.1021,4.1953125,,380.1021,1.6875,,380.102,-111.4375,,0.0,0,,380.102,-178.0625,,
380.1218,104,,380.1221,0.0,,380.1221,-17.875,,380.1216,23.9375,,380.1222,-86.5,,380.1218,244,,380.122,-93.25,,380.1216,107.4375,,380.1216,38,,380.1218,-120.9375,,380.122,-3.4375,,45.0469,"0x45C3 (0x03 0x03 0x00)",,380.1221,4.20703125,,380.1221,-1.0625,,380.122,-112.1875,,45.0537,"0x4DC3 (0x00 0x00 0x00)",,380.122,-103.375,,
380.1418,178,,380.1421,0.0,,380.1421,-28.1875,,380.1416,23.8125,,380.1422,-87.0,,380.1418,90,,380.1419,-139.875,,380.1416,106.75,,380.1416,38,,380.1418,-121.6875,,380.1419,-4.6875,,45.0469,0,,380.1421,4.1796875,,380.1421,-0.375,,380.1419,-168.0,,45.0537,0,,380.1419,-175.8125,,
380.1618,129,,380.1621,0.0,,380.1621,-37.3125,,380.1616,25.4375,,380.1621,-87.30000000000001,,380.1618,36,,380.1619,-139.875,,380.1616,105.9375,,380.1616,38,,380.1618,-122.0625,,380.1619,-19.0625,,45.0469,1,,380.1621,4.171875,,380.1621,1.3125,,380.1619,-168.0,,45.0537,1,,380.1619,-119.5,,
380.1818,175,,380.1821,0.0,,380.1821,-10.875,,380.1816,26.4375,,380.1821,-86.5,,380.1818,66,,380.1819,-139.875,,380.1816,106.75,,380.1816,38,,380.1818,-120.9375,,380.1819,-4.6875,,515.6043,1,,380.1821,4.1796875,,380.1821,0.0,,380.1819,-168.0,,515.6043,1,,380.1819,-175.5,,
380.2019,175,,380.2022,0.0,,380.2022,-13.375,,380.2018,26.6875,,380.2023,-86.2,,380.2019,34,,380.2021,-139.875,,380.2018,106.875,,380.2018,38,,380.2019,-120.5625,,380.2021,-4.625,,,,,380.2022,4.1875,,380.2022,-0.0625,,380.2021,-168.0,,,,,380.2021,-174.875,,
380.2219,172,,380.2222,0.0,,380.2222,50.6875,,380.2218,27.5,,380.2223,-86.5,,380.2219,209,,380.2221,-120.75,,380.2218,107.0,,380.2218,38,,380.2219,-120.9375,,380.2221,-4.8125,,,,,380.2222,4.20703125,,380.2222,0.375,,380.2221,-145.3125,,,,,380.2221,-162.1875,,
380.2419,167,,380.2422,0.0,,380.2422,-2.3125,,380.2418,26.875,,380.2422,-86.7,,380.2419,100,,380.242,-139.875,,380.2418,106.9375,,380.2418,38,,380.2419,-121.25,,380.242,-4.625,,,,,380.2422,4.23046875,,380.2422,0.0,,380.242,-168.0,,,,,380.242,-167.5,,
380.2619,173,,380.2622,0.0,,380.2622,-15.0625,,380.2618,26.9375,,380.2622,-87.30000000000001,,380.2619,44,,380.262,-139.875,,380.2618,106.9375,,380.2618,38,,380.2619,-122.0625,,380.262,-4.5625,,,,,380.2622,4.2578125,,380.2622,-0.1875,,380.262,-168.0,,,,,380.262,-174.125,,
380.282,162,,380.2822,0.0,,380.2822,24.3125,,380.2818,27.75,,380.2823,-88.10000000000001,,380.282,153,,380.2821,-139.875,,380.2818,107.0625,,380.2818,38,,380.282,-123.1875,,380.2821,-4.5625,,,,,380.2822,4.265625,,380.2822,0.4375,,380.2821,-168.0,,,,,380.2821,-162.1875,,
380.3019,171,,380.3022,0.0,,380.3022,-7.8125,,380.3018,27.5625,,380.3022,-89.0,,380.3019,73,,380.302,-139.875,,380.3018,106.9375,,380.3018,38,,380.3019,-124.4375,,380.302,-4.6875,,,,,380.3022,4.28515625,,380.3022,-0.1875,,380.302,-168.0,,,,,380.302,-171.875,,
380.322,175,,380.3222,0.0,,380.3222,-14.3125,,380.3218,27.5625,,380.3223,-89.2,,380.322,34,,380.3221,-139.875,,380.3218,106.9375,,380.3218,38,,380.322,-124.75,,380.3221,-4.5,,,,,380.3222,4.28515625,,380.3222,-0.25,,380.3221,-168.0,,,,,380.3221,-174.1875,,
380.342,116,,380.3422,0.0,,380.3422,18.4375,,380.3418,27.25,,380.3423,-89.9,,380.342,262,,380.3421,-94.5,,380.3418,107.4375,,380.3418,38,,380.342,-125.6875,,380.3421,-3.4375,,,,,380.3422,4.265625,,380.3422,0.375,,380.3421,-113.6875,,,,,380.3421,-113.875,,
