Time (s),0x0082_Supply_critical  ,,Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),0x0081_IO_can't_initialise  ,,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
0.0,0,,3130.7462,-0.1875,,3130.7446,0,,3130.7448,0.0,,3130.7442,0.0,,3130.7448,0.6875,,3130.7442,200,,3130.7462,0.0,,3130.746,115.1875,,3130.7446,0.0,,3130.746,0.0,,3130.7446,0,,3130.7448,0.0,,3130.746,0,,0.0,0,,3130.746,0.0,,3130.746,1079,,3130.7442,200,,3130.7462,0.0,,3130.7442,527,,3130.746,0.0,,3130.7442,0.0,,3130.746,0,,3130.7462,0.0,,3130.7446,115.375,,3130.7446,26,,3130.746,25,,3130.7448,0.0,,3130.7446,0.0,,0.0,0,,3130.7462,0.0,,3130.746,0.0,,3130.746,0,,3130.7462,0.0,,3130.7448,1.2734375,,3130.7462,0.0,,3130.746,1079,,3130.7448,0.0,,3130.7442,527,,3130.7448,0.0,,0.0,0,,3130.7462,0.0,,3130.7448,0.875,,
283.2283,"0x4DC3 (0x00 0x00 0x00)",,3130.7662,-0.1875,,3130.7644,0,,3130.7648,0.0,,3130.7642,0.0,,3130.7648,-0.375,,3130.7642,200,,3130.7662,0.0,,3130.766,115.1875,,3130.7644,0.0,,3130.766,0.0,,3130.7644,0,,3130.7648,0.0,,3130.766,0,,379.3439,"0x4682 (0x00 0x00 0x00)",,3130.766,0.0,,3130.766,1079,,3130.7642,200,,3130.7662,0.0,,3130.7642,527,,3130.766,0.0,,3130.7642,0.0,,3130.766,0,,3130.7662,0.0,,3130.7644,115.375,,3130.7644,25,,3130.766,25,,3130.7648,0.0,,3130.7644,0.0,,282.9047,"0x45C3 (0x03 0x03 0x00)",,3130.7662,0.0,,3130.766,0.0,,3130.766,0,,3130.7662,0.0,,3130.7648,1.2890625,,3130.7662,0.0,,3130.766,1079,,3130.7648,0.0,,3130.7642,527,,3130.7648,0.0,,283.2425,"0x4DC3 (0x00 0x00 0x00)",,3130.7662,0.0,,3130.7648,-1.5,,
283.2283,0,,3130.7862,-0.8125,,3130.7846,0,,3130.785,0.0,,3130.7844,0.0,,3130.785,0.6875,,3130.7844,200,,3130.7864,-0.0625,,3130.786,115.1875,,3130.7844,0.0,,3130.7862,0.0,,3130.7846,0,,3130.7846,0.0,,3130.786,0,,379.3439,0,,3130.786,0.0,,3130.786,1079,,3130.7844,200,,3130.7862,0.0,,3130.7844,527,,3130.786,0.0,,3130.7844,0.0,,3130.7862,0,,3130.7864,0.0,,3130.7844,115.375,,3130.7844,25,,3130.786,25,,3130.7846,0.0,,3130.7846,0.0,,282.9047,0,,3130.7862,0.0,,3130.786,0.0,,3130.786,0,,3130.7862,0.0,,3130.785,1.33203125,,3130.7864,0.0,,3130.786,1079,,3130.785,0.0,,3130.7844,527,,3130.7846,0.0,,283.2425,0,,3130.7864,0.0,,3130.7846,0.875,,
283.2283,1,,3130.8062,0.6875,,3130.8046,0,,3130.805,0.0,,3130.8044,0.0,,3130.805,1.1875,,3130.8044,200,,3130.8064,0.5,,3130.806,115.25,,3130.8044,0.0,,3130.8062,0.0,,3130.8046,0,,3130.8046,0.0,,3130.806,0,,379.3439,1,,3130.806,0.0,,3130.806,1079,,3130.8044,200,,3130.8062,0.0,,3130.8044,527,,3130.806,0.0,,3130.8044,0.0,,3130.8062,0,,3130.8064,0.0,,3130.8044,115.375,,3130.8044,25,,3130.806,25,,3130.8046,0.0,,3130.8046,0.0,,282.9047,1,,3130.8062,0.0,,3130.806,0.0,,3130.806,0,,3130.8062,0.0,,3130.805,1.30859375,,3130.8064,0.0,,3130.806,1079,,3130.805,0.0,,3130.8044,527,,3130.8046,0.0,,283.2425,1,,3130.8064,0.0,,3130.8046,0.625,,
3162.5568,1,,3130.8262,0.125,,3130.8246,0,,3130.8248,0.0,,3130.8244,0.0,,3130.8248,-0.375,,3130.8244,200,,3130.8264,0.5,,3130.826,115.3125,,3130.8244,0.0,,3130.8262,0.0,,3130.8246,0,,3130.8246,0.0,,3130.826,0,,380.4475,1,,3130.826,0.0,,3130.826,1079,,3130.8244,200,,3130.8262,0.0,,3130.8244,527,,3130.826,0.0,,3130.8244,0.0,,3130.8262,0,,3130.8264,0.0,,3130.8244,115.375,,3130.8244,25,,3130.826,25,,3130.8246,0.0,,3130.8246,0.0,,3162.5568,1,,3130.8262,0.0,,3130.826,0.0,,3130.826,0,,3130.8262,0.0,,3130.8248,1.2734375,,3130.8264,0.0,,3130.826,1079,,3130.8248,0.0,,3130.8244,527,,3130.8246,0.0,,3162.5568,1,,3130.8264,0.0,,3130.8246,-1.5,,
,,,3130.8464,0.4375,,3130.8446,0,,3130.8448,0.0,,3130.8444,0.0,,3130.8448,0.6875,,3130.8444,200,,3130.8464,0.0,,3130.8462,115.1875,,3130.8444,0.0,,3130.8462,0.0,,3130.8446,0,,3130.8446,0.0,,3130.8458,0,,380.4475,0,,3130.8458,0.0,,3130.8458,1079,,3130.8444,200,,3130.8464,0.0,,3130.8444,527,,3130.8458,0.0,,3130.8444,0.0,,3130.8462,0,,3130.8464,0.0,,3130.8444,115.3125,,3130.8444,25,,3130.8462,25,,3130.8446,0.0,,3130.8446,0.0,,,,,3130.8464,0.0,,3130.8462,0.0,,3130.8458,0,,3130.8464,0.0,,3130.8448,1.28125,,3130.8464,0.0,,3130.8458,1079,,3130.8448,0.0,,3130.8444,527,,3130.8446,0.0,,,,,3130.8464,0.0,,3130.8446,1.4375,,
,,,3130.8664,-0.1875,,3130.8646,0,,3130.8648,0.0,,3130.8644,0.0,,3130.8648,0.6875,,3130.8644,200,,3130.8664,0.0,,3130.8662,115.1875,,3130.8644,0.0,,3130.8662,0.0,,3130.8646,0,,3130.8646,0.0,,3130.8658,0,,623.752,"0x4682 (0x00 0x00 0x00)",,3130.8658,0.0,,3130.8658,1079,,3130.8644,200,,3130.8664,0.0,,3130.8644,527,,3130.8658,0.0,,3130.8644,0.0,,3130.8662,0,,3130.8664,0.0,,3130.8644,115.3125,,3130.8644,25,,3130.8662,25,,3130.8646,0.0,,3130.8646,0.0,,,,,3130.8664,0.0,,3130.8662,0.0,,3130.8658,0,,3130.8664,0.0,,3130.8648,1.23828125,,3130.8664,0.0,,3130.8658,1079,,3130.8648,0.0,,3130.8644,527,,3130.8646,0.0,,,,,3130.8664,0.0,,3130.8646,0.875,,
,,,3130.8864,-1.9375,,3130.8846,0,,3130.8848,0.0,,3130.8842,0.0,,3130.8848,0.125,,3130.8842,200,,3130.8866,-0.0625,,3130.886,115.1875,,3130.8842,0.0,,3130.8864,0.0,,3130.8846,0,,3130.8846,0.0,,3130.886,0,,623.752,0,,3130.886,0.0,,3130.886,1079,,3130.8842,200,,3130.8864,0.0,,3130.8842,527,,3130.886,0.0,,3130.8842,0.0,,3130.8864,0,,3130.8866,0.0,,3130.8842,115.3125,,3130.8842,25,,3130.886,25,,3130.8846,0.0,,3130.8846,0.0,,,,,3130.8864,0.0,,3130.886,0.0,,3130.886,0,,3130.8864,0.0,,3130.8848,1.2734375,,3130.8866,0.0,,3130.886,1079,,3130.8848,0.0,,3130.8842,527,,3130.8846,0.0,,,,,3130.8866,0.0,,3130.8846,0.5625,,
,,,3130.9062,1.625,,3130.9046,0,,3130.9048,0.0,,3130.9042,0.0,,3130.9048,0.6875,,3130.9042,200,,3130.9066,1.0,,3130.906,115.25,,3130.9042,0.0,,3130.9062,0.0,,3130.9046,0,,3130.9046,0.0,,3130.906,0,,623.752,1,,3130.906,0.0,,3130.906,1079,,3130.9042,200,,3130.9062,0.0,,3130.9042,527,,3130.906,0.0,,3130.9042,0.0,,3130.9062,0,,3130.9066,0.0,,3130.9042,115.25,,3130.9042,25,,3130.906,25,,3130.9046,0.0,,3130.9046,0.0,,,,,3130.9062,0.0,,3130.906,0.0,,3130.906,0,,3130.9062,0.0,,3130.9048,1.2890625,,3130.9066,0.0,,3130.906,1079,,3130.9048,0.0,,3130.9042,527,,3130.9046,0.0,,,,,3130.9066,0.0,,3130.9046,1.4375,,
,,,3130.9266,0.4375,,3130.9244,0,,3130.9248,0.0,,3130.9242,0.0,,3130.9248,0.125,,3130.9242,200,,3130.9266,0.0,,3130.9262,115.3125,,3130.9244,0.0,,3130.9262,0.0,,3130.9244,0,,3130.9248,0.0,,3130.926,0,,624.6045,1,,3130.926,0.0,,3130.926,1079,,3130.9242,200,,3130.9266,0.0,,3130.9242,527,,3130.926,0.0,,3130.9242,0.0,,3130.9262,0,,3130.9266,0.0,,3130.9244,115.3125,,3130.9244,25,,3130.9262,25,,3130.9248,0.0,,3130.9244,0.0,,,,,3130.9266,0.0,,3130.9262,0.0,,3130.926,0,,3130.9266,0.0,,3130.9248,1.30859375,,3130.9266,0.0,,3130.926,1079,,3130.9248,0.0,,3130.9242,527,,3130.9248,0.0,,,,,3130.9266,0.0,,3130.9248,-1.75,,
