Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),2. statusword  (1),,Time (s),1. controlword - right motor  (1),,Time (s),1. Iq A (0.0625),,
221.996,0.0,,221.996,800,,221.9782,106.0625,,221.9963,-0.0625,,221.9781,0.0,,221.9962,0.0,,221.9962,48,,221.998,0,,221.998,0.0,,221.996,800,,221.998,1079,,221.996,1039,,221.998,0.0,,221.996,0.0,,221.9963,27,,221.9782,27,,221.9962,0.0,,221.9963,1.9375,,221.9782,0.0,,221.998,0,,221.9781,0.0,,221.998,1079,,221.996,1039,,221.9963,-0.5,,
222.016,0.0,,222.016,800,,221.9982,106.0625,,222.0163,-0.0625,,221.9981,0.0,,222.0161,0.0,,222.0161,48,,222.018,0,,222.018,0.0,,222.016,800,,222.018,1079,,222.016,1039,,222.018,0.0,,222.016,0.0,,222.0163,27,,221.9982,27,,222.0161,0.0,,222.0163,1.4375,,221.9982,0.0,,222.018,0,,221.9981,0.0,,222.018,1079,,222.016,1039,,222.0163,0.5625,,
222.036,0.0,,222.036,800,,222.0182,106.0,,222.0362,-0.0625,,222.0181,0.0,,222.0361,0.0,,222.0361,47,,222.038,0,,222.038,0.0,,222.036,800,,222.038,1079,,222.036,1039,,222.038,0.0,,222.036,0.0,,222.0362,27,,222.0182,27,,222.0361,0.0,,222.0362,-0.0625,,222.0182,0.0,,222.038,0,,222.0181,0.0,,222.038,1079,,222.036,1039,,222.0362,2.3125,,
222.0561,0.0,,222.0561,800,,222.0382,106.0625,,222.0563,0.0,,222.0381,0.0,,222.0562,0.0,,222.0562,47,,222.0581,0,,222.0581,0.0,,222.0561,800,,222.0581,1079,,222.0561,1039,,222.0581,0.0,,222.0561,0.0,,222.0563,27,,222.0382,27,,222.0562,0.0,,222.0563,1.0,,222.0382,0.0,,222.0581,0,,222.0381,0.0,,222.0581,1079,,222.0561,1039,,222.0563,0.5,,
222.076,0.0,,222.076,800,,222.0583,106.0625,,222.0762,0.0,,222.0582,0.0,,222.0761,0.0,,222.0761,46,,222.078,0,,222.078,0.0,,222.076,800,,222.078,1079,,222.076,1039,,222.078,0.0,,222.076,0.0,,222.0762,27,,222.0583,27,,222.0761,0.0,,222.0762,0.5625,,222.0583,0.0,,222.078,0,,222.0582,0.0,,222.078,1079,,222.076,1039,,222.0762,1.375,,
222.096,0.0,,222.096,800,,222.0782,106.0625,,222.0962,-0.0625,,222.0781,0.0,,222.0961,0.0,,222.0961,46,,222.098,0,,222.098,0.0,,222.096,800,,222.098,1079,,222.096,1039,,222.098,0.0,,222.096,0.0,,222.0962,27,,222.0782,27,,222.0961,0.0,,222.0962,2.4375,,222.0782,0.0,,222.098,0,,222.0781,0.0,,222.098,1079,,222.096,1039,,222.0962,-1.1875,,
222.116,0.0,,222.116,800,,222.0982,106.0,,222.1162,-0.0625,,222.0981,0.0,,222.1161,0.0,,222.1161,45,,222.1181,0,,222.1181,0.0,,222.116,800,,222.1181,1079,,222.116,1039,,222.1181,0.0,,222.116,0.0,,222.1162,27,,222.0982,27,,222.1161,0.0,,222.1162,1.25,,222.0982,0.0,,222.1181,0,,222.0981,0.0,,222.1181,1079,,222.116,1039,,222.1162,0.8125,,
222.136,0.0,,222.136,800,,222.1183,106.0,,222.1362,-0.0625,,222.1182,0.0,,222.1361,0.0,,222.1361,45,,222.1381,0,,222.1381,0.0,,222.136,800,,222.1381,1079,,222.136,1039,,222.1381,0.0,,222.136,0.0,,222.1362,27,,222.1183,27,,222.1361,0.0,,222.1362,1.5,,222.1183,0.0,,222.1381,0,,222.1182,0.0,,222.1381,1079,,222.136,1039,,222.1362,0.0,,
222.156,0.0,,222.156,800,,222.1383,106.0,,222.1563,0.0,,222.1382,0.0,,222.1562,0.0,,222.1562,44,,222.1581,0,,222.1581,0.0,,222.156,800,,222.1581,1079,,222.156,1039,,222.1581,0.0,,222.156,0.0,,222.1563,27,,222.1383,27,,222.1562,0.0,,222.1563,0.25,,222.1383,0.0,,222.1581,0,,222.1382,0.0,,222.1581,1079,,222.156,1039,,222.1563,1.625,,
222.176,0.0,,222.176,800,,222.1584,106.0625,,222.1762,0.0,,222.1583,0.0,,222.1761,0.0,,222.1761,44,,222.1781,0,,222.1781,0.0,,222.176,800,,222.1781,1079,,222.176,1039,,222.1781,0.0,,222.176,0.0,,222.1762,27,,222.1584,27,,222.1761,0.0,,222.1762,1.8125,,222.1584,0.0,,222.1781,0,,222.1583,0.0,,222.1781,1079,,222.176,1039,,222.1762,-0.625,,
