Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
96.1866,-0.6875,,96.1842,0,,96.1844,0.0,,96.2039,0.0,,96.1844,0.125,,96.2039,500,,96.1867,0.0625,,96.1864,115.1875,,96.1841,0.0,,96.1865,0.0,,96.1842,0,,96.1843,0.0,,96.1863,0,,96.1863,0.0,,96.1863,1079,,96.2039,500,,96.1866,0.0,,96.2039,527,,96.1863,0.0,,96.2039,0.0,,96.1865,0,,96.1867,0.0,,96.1841,115.25,,96.1841,28,,96.1864,27,,96.1843,0.0,,96.1842,0.0,,96.1866,0.0,,96.1864,0.0,,96.1863,0,,96.1866,0.0,,96.1844,1.23828125,,96.1867,0.0,,96.1863,1079,,96.1844,0.0,,96.2039,527,,96.1843,0.0,,96.1867,0.0,,96.1843,0.375,,
96.2066,0.25,,96.2042,0,,96.2044,0.0,,96.2239,0.0,,96.2044,1.6875,,96.2239,500,,96.2068,-0.5,,96.2064,115.125,,96.2041,0.0,,96.2065,0.0,,96.2042,0,,96.2043,0.0,,96.2063,0,,96.2063,0.0,,96.2063,1079,,96.2239,500,,96.2066,0.0,,96.2239,527,,96.2063,0.0,,96.2239,0.0,,96.2065,0,,96.2068,0.0,,96.2041,115.25,,96.2041,28,,96.2064,27,,96.2043,0.0,,96.2042,0.0,,96.2066,0.0,,96.2064,0.0,,96.2063,0,,96.2066,0.0,,96.2044,1.23828125,,96.2068,0.0,,96.2063,1079,,96.2044,0.0,,96.2239,527,,96.2043,0.0,,96.2068,0.0,,96.2043,1.875,,
96.2266,-0.6875,,96.2242,0,,96.2244,0.0,,96.2439,0.0,,96.2244,0.6875,,96.2439,500,,96.2267,0.0625,,96.2264,115.125,,96.224,0.0,,96.2265,0.0,,96.2242,0,,96.2243,0.0,,96.2263,0,,96.2263,0.0,,96.2263,1079,,96.2439,500,,96.2266,0.0,,96.2439,527,,96.2263,0.0,,96.2439,0.0,,96.2265,0,,96.2267,0.0,,96.224,115.1875,,96.224,28,,96.2264,27,,96.2243,0.0,,96.2242,0.0,,96.2266,0.0,,96.2264,0.0,,96.2263,0,,96.2266,0.0,,96.2244,1.23828125,,96.2267,0.0,,96.2263,1079,,96.2244,0.0,,96.2439,527,,96.2243,0.0,,96.2267,0.0,,96.2243,0.125,,
96.2466,0.8125,,96.2442,0,,96.2444,0.0,,96.2639,0.0,,96.2444,0.6875,,96.2639,500,,96.2467,-0.4375,,96.2464,115.125,,96.244,0.0,,96.2465,0.0,,96.2442,0,,96.2443,0.0,,96.2463,0,,96.2463,0.0,,96.2463,1079,,96.2639,500,,96.2466,0.0,,96.2639,527,,96.2463,0.0,,96.2639,0.0,,96.2465,0,,96.2467,0.0,,96.244,115.1875,,96.244,28,,96.2464,27,,96.2443,0.0,,96.2442,0.0,,96.2466,0.0,,96.2464,0.0,,96.2463,0,,96.2466,0.0,,96.2444,1.24609375,,96.2467,0.0,,96.2463,1079,,96.2444,0.0,,96.2639,527,,96.2443,0.0,,96.2467,0.0,,96.2443,-0.4375,,
96.2666,-0.375,,96.2642,0,,96.2644,0.0,,96.2839,0.0,,96.2644,1.1875,,96.2839,500,,96.2667,0.5625,,96.2664,115.1875,,96.264,0.0,,96.2665,0.0,,96.2642,0,,96.2643,0.0,,96.2663,0,,96.2663,0.0,,96.2663,1079,,96.2839,500,,96.2666,0.0,,96.2839,527,,96.2663,0.0,,96.2839,0.0,,96.2665,0,,96.2667,0.0,,96.264,115.1875,,96.264,28,,96.2664,27,,96.2643,0.0,,96.2642,0.0,,96.2666,0.0,,96.2664,0.0,,96.2663,0,,96.2666,0.0,,96.2644,1.24609375,,96.2667,0.0,,96.2663,1079,,96.2644,0.0,,96.2839,527,,96.2643,0.0,,96.2667,0.0,,96.2643,1.5625,,
96.2866,0.8125,,96.2842,0,,96.2844,0.0,,96.3039,0.0,,96.2844,0.625,,96.3039,500,,96.2867,-0.4375,,96.2863,115.1875,,96.284,0.0,,96.2865,0.0,,96.2842,0,,96.2843,0.0,,96.2862,0,,96.2862,0.0,,96.2862,1079,,96.3039,500,,96.2866,0.0,,96.3039,527,,96.2862,0.0,,96.3039,0.0,,96.2865,0,,96.2867,0.0,,96.284,115.1875,,96.284,28,,96.2863,27,,96.2843,0.0,,96.2842,0.0,,96.2866,0.0,,96.2863,0.0,,96.2862,0,,96.2866,0.0,,96.2844,1.25390625,,96.2867,0.0,,96.2862,1079,,96.2844,0.0,,96.3039,527,,96.2843,0.0,,96.2867,0.0,,96.2843,1.25,,
96.3066,1.125,,96.3042,0,,96.3044,0.0,,96.324,0.0,,96.3044,-0.375,,96.324,500,,96.3067,0.0625,,96.3064,115.125,,96.304,0.0,,96.3065,0.0,,96.3042,0,,96.3043,0.0,,96.3063,0,,96.3063,0.0,,96.3063,1079,,96.324,500,,96.3066,0.0,,96.324,527,,96.3063,0.0,,96.324,0.0,,96.3065,0,,96.3067,0.0,,96.304,115.3125,,96.304,28,,96.3064,27,,96.3043,0.0,,96.3042,0.0,,96.3066,0.0,,96.3064,0.0,,96.3063,0,,96.3066,0.0,,96.3044,1.26171875,,96.3067,0.0,,96.3063,1079,,96.3044,0.0,,96.324,527,,96.3043,0.0,,96.3067,0.0,,96.3043,-0.5,,
96.3266,0.25,,96.3243,0,,96.3245,0.0,,96.3439,0.0,,96.3245,0.125,,96.3439,500,,96.3267,0.5625,,96.3263,115.125,,96.3241,0.0,,96.3265,0.0,,96.3243,0,,96.3244,0.0,,96.3262,0,,96.3262,0.0,,96.3262,1079,,96.3439,500,,96.3266,0.0,,96.3439,527,,96.3262,0.0,,96.3439,0.0,,96.3265,0,,96.3267,0.0,,96.3241,115.3125,,96.3241,28,,96.3263,27,,96.3244,0.0,,96.3243,0.0,,96.3266,0.0,,96.3263,0.0,,96.3262,0,,96.3266,0.0,,96.3245,1.2890625,,96.3267,0.0,,96.3262,1079,,96.3245,0.0,,96.3439,527,,96.3244,0.0,,96.3267,0.0,,96.3244,0.375,,
96.3466,-1.0,,96.3441,0,,96.3444,0.0,,96.3639,0.0,,96.3444,-0.375,,96.3639,500,,96.3467,0.5625,,96.3464,115.1875,,96.344,0.0,,96.3465,0.0,,96.3441,0,,96.3443,0.0,,96.3462,0,,96.3462,0.0,,96.3462,1079,,96.3639,500,,96.3466,0.0,,96.3639,527,,96.3462,0.0,,96.3639,0.0,,96.3465,0,,96.3467,0.0,,96.344,115.1875,,96.344,28,,96.3464,27,,96.3443,0.0,,96.3441,0.0,,96.3466,0.0,,96.3464,0.0,,96.3462,0,,96.3466,0.0,,96.3444,1.296875,,96.3467,0.0,,96.3462,1079,,96.3444,0.0,,96.3639,527,,96.3443,0.0,,96.3467,0.0,,96.3443,0.6875,,
96.3666,-0.0625,,96.3642,0,,96.3644,0.0,,96.3839,0.0,,96.3644,0.125,,96.3839,500,,96.3667,0.0625,,96.3664,115.1875,,96.364,0.0,,96.3665,0.0,,96.3642,0,,96.3643,0.0,,96.3663,0,,96.3663,0.0,,96.3663,1079,,96.3839,500,,96.3666,0.0,,96.3839,527,,96.3663,0.0,,96.3839,0.0,,96.3665,0,,96.3667,0.0,,96.364,115.25,,96.364,28,,96.3664,27,,96.3643,0.0,,96.3642,0.0,,96.3666,0.0,,96.3664,0.0,,96.3663,0,,96.3666,0.0,,96.3644,1.30859375,,96.3667,0.0,,96.3663,1079,,96.3644,0.0,,96.3839,527,,96.3643,0.0,,96.3667,0.0,,96.3643,-0.75,,
