Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
929.2911,0.25,,929.289,0,,929.2893,0.0,,929.3088,0.0,,929.2893,0.3125,,929.3088,484,,929.2912,-2.0,,929.2909,115.1875,,929.3089,0.0,,929.291,0.0,,929.289,0,,929.2891,0.0,,929.2908,0,,929.2908,0.0,,929.2908,1079,,929.3088,484,,929.2911,0.0,,929.3088,527,,929.2908,0.0,,929.3088,0.0,,929.291,0,,929.2912,0.0,,929.3089,115.3125,,929.3089,28,,929.2909,28,,929.2891,0.0,,929.289,0.0,,929.2911,0.0,,929.2909,0.0,,929.2908,0,,929.2911,0.0,,929.2893,1.2734375,,929.2912,0.0,,929.2908,1079,,929.2893,0.0,,929.3088,527,,929.2891,0.0,,929.2912,0.0,,929.2891,1.0625,,
929.3111,0.25,,929.309,0,,929.3093,0.0,,929.3288,0.0,,929.3093,-0.1875,,929.3288,486,,929.3113,-0.5,,929.3109,115.1875,,929.3289,0.0,,929.311,0.0,,929.309,0,,929.3092,0.0,,929.3108,0,,929.3108,0.0,,929.3108,1079,,929.3288,486,,929.3111,0.0,,929.3288,527,,929.3108,0.0,,929.3288,0.0,,929.311,0,,929.3113,0.0,,929.3289,115.3125,,929.3289,28,,929.3109,28,,929.3092,0.0,,929.309,0.0,,929.3111,0.0,,929.3109,0.0,,929.3108,0,,929.3111,0.0,,929.3093,1.26171875,,929.3113,0.0,,929.3108,1079,,929.3093,0.0,,929.3288,527,,929.3092,0.0,,929.3113,0.0,,929.3092,-0.9375,,
929.3311,0.25,,929.329,0,,929.3293,0.0,,929.3488,0.0,,929.3293,-0.1875,,929.3488,488,,929.3312,-1.0,,929.3309,115.1875,,929.3489,0.0,,929.331,0.0,,929.329,0,,929.3291,0.0,,929.3308,0,,929.3308,0.0,,929.3308,1079,,929.3488,488,,929.3311,0.0,,929.3488,527,,929.3308,0.0,,929.3488,0.0,,929.331,0,,929.3312,0.0,,929.3489,115.25,,929.3489,28,,929.3309,28,,929.3291,0.0,,929.329,0.0,,929.3311,0.0,,929.3309,0.0,,929.3308,0,,929.3311,0.0,,929.3293,1.296875,,929.3312,0.0,,929.3308,1079,,929.3293,0.0,,929.3488,527,,929.3291,0.0,,929.3312,0.0,,929.3291,0.1875,,
929.3511,-0.0625,,929.3491,0,,929.3494,0.0,,929.3688,0.0,,929.3494,0.3125,,929.3688,489,,929.3512,0.5625,,929.3508,115.125,,929.3689,0.0,,929.351,0.0,,929.3491,0,,929.3492,0.0,,929.3508,0,,929.3508,0.0,,929.3508,1079,,929.3688,489,,929.3511,0.0,,929.3688,527,,929.3508,0.0,,929.3688,0.0,,929.351,0,,929.3512,0.0,,929.3689,115.3125,,929.3689,28,,929.3508,28,,929.3492,0.0,,929.3491,0.0,,929.3511,0.0,,929.3508,0.0,,929.3508,0,,929.3511,0.0,,929.3494,1.296875,,929.3512,0.0,,929.3508,1079,,929.3494,0.0,,929.3688,527,,929.3492,0.0,,929.3512,0.0,,929.3492,1.0625,,
929.3711,-0.375,,929.3691,0,,929.3693,0.0,,929.3888,0.0,,929.3693,0.3125,,929.3888,490,,929.3712,0.5625,,929.3709,115.125,,929.3889,0.0,,929.371,0.0,,929.3691,0,,929.3692,0.0,,929.3708,0,,929.3708,0.0,,929.3708,1079,,929.3888,490,,929.3711,0.0,,929.3888,527,,929.3708,0.0,,929.3888,0.0,,929.371,0,,929.3712,0.0,,929.3889,115.25,,929.3889,28,,929.3709,28,,929.3692,0.0,,929.3691,0.0,,929.3711,0.0,,929.3709,0.0,,929.3708,0,,929.3711,0.0,,929.3693,1.2890625,,929.3712,0.0,,929.3708,1079,,929.3693,0.0,,929.3888,527,,929.3692,0.0,,929.3712,0.0,,929.3692,0.5,,
929.3911,1.4375,,929.389,0,,929.3893,0.0,,929.4088,0.0,,929.3893,-0.1875,,929.4088,491,,929.3912,0.5625,,929.3908,115.125,,929.4089,0.0,,929.391,0.0,,929.389,0,,929.3892,0.0,,929.3908,0,,929.3908,0.0,,929.3908,1079,,929.4088,491,,929.3911,0.0,,929.4088,527,,929.3908,0.0,,929.4088,0.0,,929.391,0,,929.3912,0.0,,929.4089,115.3125,,929.4089,28,,929.3908,28,,929.3892,0.0,,929.389,0.0,,929.3911,0.0,,929.3908,0.0,,929.3908,0,,929.3911,0.0,,929.3893,1.30859375,,929.3912,0.0,,929.3908,1079,,929.3893,0.0,,929.4088,527,,929.3892,0.0,,929.3912,0.0,,929.3892,0.1875,,
929.4111,-0.375,,929.409,0,,929.4093,0.0,,929.4288,0.0,,929.4093,-0.6875,,929.4288,492,,929.4112,-2.0,,929.4109,115.125,,929.4289,0.0,,929.411,0.0,,929.409,0,,929.4091,0.0,,929.4107,0,,929.4107,0.0,,929.4107,1079,,929.4288,492,,929.4111,0.0,,929.4288,527,,929.4107,0.0,,929.4288,0.0,,929.411,0,,929.4112,0.0,,929.4289,115.25,,929.4289,28,,929.4109,28,,929.4091,0.0,,929.409,0.0,,929.4111,0.0,,929.4109,0.0,,929.4107,0,,929.4111,0.0,,929.4093,1.296875,,929.4112,0.0,,929.4107,1079,,929.4093,0.0,,929.4288,527,,929.4091,0.0,,929.4112,0.0,,929.4091,-0.125,,
929.4311,-0.375,,929.429,0,,929.4293,0.0,,929.4488,0.0,,929.4293,-0.6875,,929.4488,493,,929.4312,0.0625,,929.4308,115.125,,929.4489,0.0,,929.431,0.0,,929.429,0,,929.4292,0.0,,929.4308,0,,929.4308,0.0,,929.4308,1079,,929.4488,493,,929.4311,0.0,,929.4488,527,,929.4308,0.0,,929.4488,0.0,,929.431,0,,929.4312,0.0,,929.4489,115.25,,929.4489,28,,929.4308,28,,929.4292,0.0,,929.429,0.0,,929.4311,0.0,,929.4308,0.0,,929.4308,0,,929.4311,0.0,,929.4293,1.28125,,929.4312,0.0,,929.4308,1079,,929.4293,0.0,,929.4488,527,,929.4292,0.0,,929.4312,0.0,,929.4292,-1.25,,
929.4511,-0.375,,929.449,0,,929.4493,0.0,,929.4688,0.0,,929.4493,0.8125,,929.4688,494,,929.4512,1.0625,,929.4509,115.1875,,929.4688,0.0,,929.451,0.0,,929.449,0,,929.4491,0.0,,929.4507,0,,929.4507,0.0,,929.4507,1079,,929.4688,494,,929.4511,0.0,,929.4688,527,,929.4507,0.0,,929.4688,0.0,,929.451,0,,929.4512,0.0,,929.4688,115.25,,929.4688,28,,929.4509,28,,929.4491,0.0,,929.449,0.0,,929.4511,0.0,,929.4509,0.0,,929.4507,0,,929.4511,0.0,,929.4493,1.30859375,,929.4512,0.0,,929.4507,1079,,929.4493,0.0,,929.4688,527,,929.4491,0.0,,929.4512,0.0,,929.4491,0.6875,,
929.4711,0.5625,,929.469,0,,929.4692,0.0,,929.4887,0.0,,929.4692,0.3125,,929.4887,495,,929.4712,-1.5625,,929.4708,115.1875,,929.4888,0.0,,929.471,0.0,,929.469,0,,929.4691,0.0,,929.4708,0,,929.4708,0.0,,929.4708,1079,,929.4887,495,,929.4711,0.0,,929.4887,33295,,929.4708,0.0,,929.4887,0.0,,929.471,0,,929.4712,0.0,,929.4888,115.25,,929.4888,28,,929.4708,28,,929.4691,0.0,,929.469,0.0,,929.4711,0.0,,929.4708,0.0,,929.4708,0,,929.4711,0.0,,929.4692,1.34375,,929.4712,0.0,,929.4708,1079,,929.4692,0.0,,929.4887,33295,,929.4691,0.0,,929.4712,0.0,,929.4691,-0.1875,,
