Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
1267.2211,2.0625,,1267.2143,0,,1267.2146,0.0,,1267.2141,0.0,,1267.2146,0.5,,1267.2141,0,,1267.2212,-0.5,,1267.2207,109.6875,,1267.2142,0.0,,1267.2208,0.0,,1267.2143,0,,1267.2144,0.0,,1267.2206,0,,1267.2206,0.0,,1267.2206,1104,,1267.2141,0,,1267.2211,0.0,,1267.2141,32768,,1267.2206,0.0,,1267.2141,0.0,,1267.2208,0,,1267.2212,0.0,,1267.2142,109.875,,1267.2142,25,,1267.2207,25,,1267.2144,0.0,,1267.2143,0.0,,1267.2211,0.0,,1267.2207,0.0,,1267.2206,0,,1267.2211,0.0,,1267.2146,1.23828125,,1267.2212,0.0,,1267.2206,1104,,1267.2146,0.0,,1267.2141,32768,,1267.2144,0.0,,1267.2212,0.0,,1267.2144,-0.3125,,
1267.2411,0.25,,1267.2343,0,,1267.2345,0.0,,1267.234,0.0,,1267.2345,0.5,,1267.234,0,,1267.2411,0.4375,,1267.2407,109.75,,1267.2341,0.0,,1267.2409,0.0,,1267.2343,0,,1267.2344,0.0,,1267.2407,0,,1267.2407,0.0,,1267.2407,1104,,1267.234,0,,1267.2411,0.0,,1267.234,32768,,1267.2407,0.0,,1267.234,0.0,,1267.2409,0,,1267.2411,0.0,,1267.2341,109.875,,1267.2341,25,,1267.2407,25,,1267.2344,0.0,,1267.2343,0.0,,1267.2411,0.0,,1267.2407,0.0,,1267.2407,0,,1267.2411,0.0,,1267.2345,1.26171875,,1267.2411,0.0,,1267.2407,1104,,1267.2345,0.0,,1267.234,32768,,1267.2344,0.0,,1267.2411,0.0,,1267.2344,-0.9375,,
1267.261,0.25,,1267.2542,0,,1267.2545,0.0,,1267.254,0.0,,1267.2545,-0.4375,,1267.254,0,,1267.2612,-0.5625,,1267.2608,109.6875,,1267.2541,0.0,,1267.2609,0.0,,1267.2542,0,,1267.2544,0.0,,1267.2606,0,,1267.2606,0.0,,1267.2606,1104,,1267.254,0,,1267.261,0.0,,1267.254,32768,,1267.2606,0.0,,1267.254,0.0,,1267.2609,0,,1267.2612,0.0,,1267.2541,109.8125,,1267.2541,25,,1267.2608,25,,1267.2544,0.0,,1267.2542,0.0,,1267.261,0.0,,1267.2608,0.0,,1267.2606,0,,1267.261,0.0,,1267.2545,1.2890625,,1267.2612,0.0,,1267.2606,1104,,1267.2545,0.0,,1267.254,32768,,1267.2544,0.0,,1267.2612,0.0,,1267.2544,0.3125,,
1267.2811,0.25,,1267.2742,0,,1267.2745,0.0,,1267.274,0.0,,1267.2745,0.0,,1267.274,0,,1267.2813,-0.5625,,1267.2809,109.6875,,1267.2741,0.0,,1267.281,0.0,,1267.2742,0,,1267.2743,0.0,,1267.2806,0,,1267.2806,0.0,,1267.2806,1104,,1267.274,0,,1267.2811,0.0,,1267.274,32768,,1267.2806,0.0,,1267.274,0.0,,1267.281,0,,1267.2813,0.0,,1267.2741,109.875,,1267.2741,25,,1267.2809,25,,1267.2743,0.0,,1267.2742,0.0,,1267.2811,0.0,,1267.2809,0.0,,1267.2806,0,,1267.2811,0.0,,1267.2745,1.28125,,1267.2813,0.0,,1267.2806,1104,,1267.2745,0.0,,1267.274,32768,,1267.2743,0.0,,1267.2813,0.0,,1267.2743,-0.625,,
1267.3011,1.1875,,1267.2942,0,,1267.2944,0.0,,1267.2939,0.0,,1267.2944,1.0,,1267.2939,0,,1267.3012,0.0,,1267.3008,109.6875,,1267.2941,0.0,,1267.301,0.0,,1267.2942,0,,1267.2943,0.0,,1267.3006,0,,1267.3006,0.0,,1267.3006,1104,,1267.2939,0,,1267.3011,0.0,,1267.2939,32768,,1267.3006,0.0,,1267.2939,0.0,,1267.301,0,,1267.3012,0.0,,1267.2941,109.875,,1267.2941,25,,1267.3008,25,,1267.2943,0.0,,1267.2942,0.0,,1267.3011,0.0,,1267.3008,0.0,,1267.3006,0,,1267.3011,0.0,,1267.2944,1.33203125,,1267.3012,0.0,,1267.3006,1104,,1267.2944,0.0,,1267.2939,32768,,1267.2943,0.0,,1267.3012,0.0,,1267.2943,-0.6875,,
1267.3209,0.875,,1267.3143,0,,1267.3145,0.0,,1267.314,0.0,,1267.3145,-0.4375,,1267.314,0,,1267.3211,-0.5625,,1267.3207,109.6875,,1267.3141,0.0,,1267.3208,0.0,,1267.3143,0,,1267.3144,0.0,,1267.3205,0,,1267.3205,0.0,,1267.3205,1104,,1267.314,0,,1267.3209,0.0,,1267.314,32768,,1267.3205,0.0,,1267.314,0.0,,1267.3208,0,,1267.3211,0.0,,1267.3141,109.8125,,1267.3141,25,,1267.3207,25,,1267.3144,0.0,,1267.3143,0.0,,1267.3209,0.0,,1267.3207,0.0,,1267.3205,0,,1267.3209,0.0,,1267.3145,1.32421875,,1267.3211,0.0,,1267.3205,1104,,1267.3145,0.0,,1267.314,32768,,1267.3144,0.0,,1267.3211,0.0,,1267.3144,0.3125,,
1267.3412,0.0,,1267.3342,0,,1267.3345,0.0,,1267.334,0.0,,1267.3345,-0.5,,1267.334,0,,1267.3413,-0.0625,,1267.3409,109.6875,,1267.3341,0.0,,1267.341,0.0,,1267.3342,0,,1267.3344,0.0,,1267.3409,0,,1267.3409,0.0,,1267.3409,1104,,1267.334,0,,1267.3412,0.0,,1267.334,32768,,1267.3409,0.0,,1267.334,0.0,,1267.341,0,,1267.3413,0.0,,1267.3341,109.875,,1267.3341,25,,1267.3409,25,,1267.3344,0.0,,1267.3342,0.0,,1267.3412,0.0,,1267.3409,0.0,,1267.3409,0,,1267.3412,0.0,,1267.3345,1.31640625,,1267.3413,0.0,,1267.3409,1104,,1267.3345,0.0,,1267.334,32768,,1267.3344,0.0,,1267.3413,0.0,,1267.3344,-0.875,,
1267.3611,-0.625,,1267.3542,0,,1267.3545,0.0,,1267.354,0.0,,1267.3545,-0.9375,,1267.354,0,,1267.3613,-0.125,,1267.3609,109.75,,1267.3541,0.0,,1267.3611,0.0,,1267.3542,0,,1267.3543,0.0,,1267.3609,0,,1267.3609,0.0,,1267.3609,1104,,1267.354,0,,1267.3611,0.0,,1267.354,32768,,1267.3609,0.0,,1267.354,0.0,,1267.3611,0,,1267.3613,0.0,,1267.3541,109.75,,1267.3541,25,,1267.3609,25,,1267.3543,0.0,,1267.3542,0.0,,1267.3611,0.0,,1267.3609,0.0,,1267.3609,0,,1267.3611,0.0,,1267.3545,1.28125,,1267.3613,0.0,,1267.3609,1104,,1267.3545,0.0,,1267.354,32768,,1267.3543,0.0,,1267.3613,0.0,,1267.3543,1.1875,,
1267.3812,-2.1875,,1267.3742,0,,1267.3744,0.0,,1267.3739,0.0,,1267.3744,-0.875,,1267.3739,0,,1267.3812,1.3125,,1267.381,109.8125,,1267.3741,0.0,,1267.3811,0.0,,1267.3742,0,,1267.3743,0.0,,1267.3808,0,,1267.3808,0.0,,1267.3808,1104,,1267.3739,0,,1267.3812,0.0,,1267.3739,32768,,1267.3808,0.0,,1267.3739,0.0,,1267.3811,0,,1267.3812,0.0,,1267.3741,109.75,,1267.3741,25,,1267.381,25,,1267.3743,0.0,,1267.3742,0.0,,1267.3812,0.0,,1267.381,0.0,,1267.3808,0,,1267.3812,0.0,,1267.3744,1.24609375,,1267.3812,0.0,,1267.3808,1104,,1267.3744,0.0,,1267.3739,32768,,1267.3743,0.0,,1267.3812,0.0,,1267.3743,2.375,,
1267.4012,2.125,,1267.3941,0,,1267.3944,0.0,,1267.3939,0.0,,1267.3944,0.0625,,1267.3939,0,,1267.4013,-1.5,,1267.4009,109.6875,,1267.394,0.0,,1267.4011,0.0,,1267.3941,0,,1267.3943,0.0,,1267.4008,0,,1267.4008,0.0,,1267.4008,1104,,1267.3939,0,,1267.4012,0.0,,1267.3939,32768,,1267.4008,0.0,,1267.3939,0.0,,1267.4011,0,,1267.4013,0.0,,1267.394,109.875,,1267.394,25,,1267.4009,25,,1267.3943,0.0,,1267.3941,0.0,,1267.4012,0.0,,1267.4009,0.0,,1267.4008,0,,1267.4012,0.0,,1267.3944,1.25390625,,1267.4013,0.0,,1267.4008,1104,,1267.3944,0.0,,1267.3939,32768,,1267.3943,0.0,,1267.4013,0.0,,1267.3943,0.5625,,
