Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
81.261,2.5,,81.2723,0,,81.2726,0.0,,81.2721,0.0,,81.2726,-0.3125,,81.2721,300,,81.2612,2.125,,81.2608,109.875,,81.2722,0.0,,81.2609,0.0,,81.2723,0,,81.2724,0.0,,81.2607,0,,81.2607,0.0,,81.2607,1079,,81.2721,300,,81.261,0.0,,81.2721,527,,81.2607,0.0,,81.2721,0.0,,81.2609,0,,81.2612,0.0,,81.2722,109.9375,,81.2722,22,,81.2608,22,,81.2724,0.0,,81.2723,0.0,,81.261,0.0,,81.2608,0.0,,81.2607,0,,81.261,0.0,,81.2726,1.296875,,81.2612,0.0,,81.2607,1079,,81.2726,0.0,,81.2721,527,,81.2724,0.0,,81.2612,0.0,,81.2724,-0.875,,
81.281,-1.6875,,81.2922,0,,81.2925,0.0,,81.2919,0.0,,81.2925,-0.3125,,81.2919,300,,81.2812,0.0625,,81.2808,109.875,,81.2921,0.0,,81.2809,0.0,,81.2922,0,,81.2923,0.0,,81.2807,0,,81.2807,0.0,,81.2807,1079,,81.2919,300,,81.281,0.0,,81.2919,527,,81.2807,0.0,,81.2919,0.0,,81.2809,0,,81.2812,0.0,,81.2921,109.9375,,81.2921,22,,81.2808,22,,81.2923,0.0,,81.2922,0.0,,81.281,0.0,,81.2808,0.0,,81.2807,0,,81.281,0.0,,81.2925,1.2890625,,81.2812,0.0,,81.2807,1079,,81.2925,0.0,,81.2919,527,,81.2923,0.0,,81.2812,0.0,,81.2923,-0.3125,,
81.301,-0.1875,,81.3122,0,,81.3125,0.0,,81.3119,0.0,,81.3125,-0.8125,,81.3119,300,,81.3012,-0.4375,,81.3008,109.75,,81.3121,0.0,,81.3009,0.0,,81.3122,0,,81.3123,0.0,,81.3007,0,,81.3007,0.0,,81.3007,1079,,81.3119,300,,81.301,0.0,,81.3119,527,,81.3007,0.0,,81.3119,0.0,,81.3009,0,,81.3012,0.0,,81.3121,109.9375,,81.3121,22,,81.3008,22,,81.3123,0.0,,81.3122,0.0,,81.301,0.0,,81.3008,0.0,,81.3007,0,,81.301,0.0,,81.3125,1.28125,,81.3012,0.0,,81.3007,1079,,81.3125,0.0,,81.3119,527,,81.3123,0.0,,81.3012,0.0,,81.3123,-0.3125,,
81.321,2.1875,,81.3322,0,,81.3324,0.0,,81.3319,0.0,,81.3324,-0.8125,,81.3319,300,,81.3212,0.625,,81.3208,109.8125,,81.3321,0.0,,81.3209,0.0,,81.3322,0,,81.3323,0.0,,81.3207,0,,81.3207,0.0,,81.3207,1079,,81.3319,300,,81.321,0.0,,81.3319,527,,81.3207,0.0,,81.3319,0.0,,81.3209,0,,81.3212,0.0,,81.3321,109.875,,81.3321,22,,81.3208,22,,81.3323,0.0,,81.3322,0.0,,81.321,0.0,,81.3208,0.0,,81.3207,0,,81.321,0.0,,81.3324,1.25390625,,81.3212,0.0,,81.3207,1079,,81.3324,0.0,,81.3319,527,,81.3323,0.0,,81.3212,0.0,,81.3323,-0.625,,
81.3411,2.1875,,81.3523,0,,81.3525,0.0,,81.3519,0.0,,81.3525,-0.8125,,81.3519,300,,81.3412,0.625,,81.3408,109.8125,,81.3521,0.0,,81.3409,0.0,,81.3523,0,,81.3524,0.0,,81.3407,0,,81.3407,0.0,,81.3407,1079,,81.3519,300,,81.3411,0.0,,81.3519,527,,81.3407,0.0,,81.3519,0.0,,81.3409,0,,81.3412,0.0,,81.3521,109.875,,81.3521,22,,81.3408,22,,81.3524,0.0,,81.3523,0.0,,81.3411,0.0,,81.3408,0.0,,81.3407,0,,81.3411,0.0,,81.3525,1.2734375,,81.3412,0.0,,81.3407,1079,,81.3525,0.0,,81.3519,527,,81.3524,0.0,,81.3412,0.0,,81.3524,-0.0625,,
81.361,0.4375,,81.3723,0,,81.3725,0.0,,81.3719,0.0,,81.3725,-1.375,,81.3719,300,,81.3612,-0.4375,,81.3608,109.875,,81.3721,0.0,,81.3609,0.0,,81.3723,0,,81.3724,0.0,,81.3607,0,,81.3607,0.0,,81.3607,1079,,81.3719,300,,81.361,0.0,,81.3719,527,,81.3607,0.0,,81.3719,0.0,,81.3609,0,,81.3612,0.0,,81.3721,109.9375,,81.3721,22,,81.3608,22,,81.3724,0.0,,81.3723,0.0,,81.361,0.0,,81.3608,0.0,,81.3607,0,,81.361,0.0,,81.3725,1.2890625,,81.3612,0.0,,81.3607,1079,,81.3725,0.0,,81.3719,527,,81.3724,0.0,,81.3612,0.0,,81.3724,-3.25,,
81.381,-0.1875,,81.3922,0,,81.3924,0.0,,81.3918,0.0,,81.3924,-0.3125,,81.3918,300,,81.3812,-0.4375,,81.3808,109.8125,,81.392,0.0,,81.3809,0.0,,81.3922,0,,81.3923,0.0,,81.3807,0,,81.3807,0.0,,81.3807,1079,,81.3918,300,,81.381,0.0,,81.3918,527,,81.3807,0.0,,81.3918,0.0,,81.3809,0,,81.3812,0.0,,81.392,109.9375,,81.392,22,,81.3808,22,,81.3923,0.0,,81.3922,0.0,,81.381,0.0,,81.3808,0.0,,81.3807,0,,81.381,0.0,,81.3924,1.31640625,,81.3812,0.0,,81.3807,1079,,81.3924,0.0,,81.3918,527,,81.3923,0.0,,81.3812,0.0,,81.3923,-0.875,,
81.401,1.0,,81.4122,0,,81.4124,0.0,,81.4119,0.0,,81.4124,0.25,,81.4119,300,,81.4012,0.625,,81.4008,109.75,,81.412,0.0,,81.4009,0.0,,81.4122,0,,81.4123,0.0,,81.4007,0,,81.4007,0.0,,81.4007,1079,,81.4119,300,,81.401,0.0,,81.4119,527,,81.4007,0.0,,81.4119,0.0,,81.4009,0,,81.4012,0.0,,81.412,109.875,,81.412,22,,81.4008,22,,81.4123,0.0,,81.4122,0.0,,81.401,0.0,,81.4008,0.0,,81.4007,0,,81.401,0.0,,81.4124,1.30859375,,81.4012,0.0,,81.4007,1079,,81.4124,0.0,,81.4119,527,,81.4123,0.0,,81.4012,0.0,,81.4123,-1.75,,
81.421,1.625,,81.4322,0,,81.4324,0.0,,81.4318,0.0,,81.4324,-0.3125,,81.4318,300,,81.4211,0.625,,81.4208,109.875,,81.432,0.0,,81.4209,0.0,,81.4322,0,,81.4323,0.0,,81.4207,0,,81.4207,0.0,,81.4207,1079,,81.4318,300,,81.421,0.0,,81.4318,527,,81.4207,0.0,,81.4318,0.0,,81.4209,0,,81.4211,0.0,,81.432,109.875,,81.432,22,,81.4208,22,,81.4323,0.0,,81.4322,0.0,,81.421,0.0,,81.4208,0.0,,81.4207,0,,81.421,0.0,,81.4324,1.2890625,,81.4211,0.0,,81.4207,1079,,81.4324,0.0,,81.4318,527,,81.4323,0.0,,81.4211,0.0,,81.4323,0.25,,
81.441,0.4375,,81.4522,0,,81.4524,0.0,,81.4518,0.0,,81.4524,-0.8125,,81.4518,300,,81.4411,0.625,,81.4408,109.8125,,81.452,0.0,,81.4409,0.0,,81.4522,0,,81.4523,0.0,,81.4407,0,,81.4407,0.0,,81.4407,1079,,81.4518,300,,81.441,0.0,,81.4518,527,,81.4407,0.0,,81.4518,0.0,,81.4409,0,,81.4411,0.0,,81.452,109.875,,81.452,22,,81.4408,22,,81.4523,0.0,,81.4522,0.0,,81.441,0.0,,81.4408,0.0,,81.4407,0,,81.441,0.0,,81.4524,1.28125,,81.4411,0.0,,81.4407,1079,,81.4524,0.0,,81.4518,527,,81.4523,0.0,,81.4411,0.0,,81.4523,-0.3125,,
