Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
0	03/05 12:38:29	#498 000:00:51:22	0.0	-1.1	-1.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
1	03/05 12:38:30	#498 000:00:51:23	0.0	-1.1	-1.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
2	03/05 12:38:31	#498 000:00:51:24	0.0	-1.1	-1.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
3	03/05 12:38:32	#498 000:00:51:25	0.0	-1.1	-1.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
4	03/05 12:38:33	#498 000:00:51:26	0.0	-1.1	-1.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
5	03/05 12:38:34	#498 000:00:51:27	0.0	-1.1	-1.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
6	03/05 12:38:35	#498 000:00:51:28	0.0	-0.9	-0.9	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
7	03/05 12:38:36	#498 000:00:51:29	0.0	-0.8	-0.8	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
8	03/05 12:38:37	#498 000:00:51:30	0.0	0.3	0.3	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
9	03/05 12:38:38	#498 000:00:51:31	0.0	2.4	2.4	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.10	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
