Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Footbrake Pot Input Voltage V (0.00390625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Iq A (0.0625),,
1951.0474,0,,1951.028,0.0,,1951.028,1.0,,1951.0472,0.0,,1951.028,0.0,,1951.0474,-40,,1951.0278,0.0,,1951.028,0.0,,1951.0472,102.375,,1951.0472,37,,1951.0474,0.0,,1951.0278,-1.125,,1951.028,1.19140625,,1951.028,0.3125,,1951.0278,0.0,,1951.0278,-1.375,,
1951.0676,0,,1951.0476,0.0,,1951.0476,0.9375,,1951.0674,0.0,,1951.0478,0.0,,1951.0676,-40,,1951.0476,0.0,,1951.0478,0.0,,1951.0674,102.375,,1951.0674,37,,1951.0676,0.0,,1951.0476,-0.5625,,1951.0476,1.18359375,,1951.0476,0.1875,,1951.0476,0.0,,1951.0476,-2.4375,,
1951.0874,0,,1951.0678,0.0,,1951.0678,2.3125,,1951.0874,0.0,,1951.068,0.0,,1951.0874,-39,,1951.0678,0.0,,1951.068,0.0,,1951.0874,102.3125,,1951.0874,37,,1951.0874,0.0,,1951.0678,-1.25,,1951.0678,1.21875,,1951.0678,-0.125,,1951.0678,0.0,,1951.0678,0.0625,,
1951.1074,0,,1951.0878,0.0,,1951.0878,0.3125,,1951.1072,0.0,,1951.0878,0.0,,1951.1074,-39,,1951.0876,0.0,,1951.0878,0.0,,1951.1072,102.25,,1951.1072,37,,1951.1074,0.0,,1951.0876,-1.6875,,1951.0878,1.21875,,1951.0878,0.625,,1951.0876,0.0,,1951.0876,0.8125,,
1951.1276,0,,1951.1076,0.0,,1951.1076,-2.125,,1951.1276,0.0,,1951.1078,0.0,,1951.1276,-39,,1951.1076,0.0,,1951.1078,0.0,,1951.1276,102.3125,,1951.1276,37,,1951.1276,0.0,,1951.1076,-1.5625,,1951.1076,1.19140625,,1951.1076,1.0,,1951.1076,0.0,,1951.1076,-0.125,,
1951.1474,0,,1951.1278,0.0,,1951.1278,1.25,,1951.1472,0.0,,1951.1278,0.0,,1951.1474,-38,,1951.1278,0.0,,1951.1278,0.0,,1951.1472,102.3125,,1951.1472,37,,1951.1474,0.0,,1951.1278,-1.1875,,1951.1278,1.18359375,,1951.1278,0.375,,1951.1278,0.0,,1951.1278,-1.1875,,
1951.1676,0,,1951.1476,0.0,,1951.1476,0.1875,,1951.1674,0.0,,1951.1478,0.0,,1951.1676,-38,,1951.1474,0.0,,1951.1478,0.0,,1951.1674,102.375,,1951.1674,37,,1951.1676,0.0,,1951.1474,-1.25,,1951.1476,1.19140625,,1951.1476,0.375,,1951.1474,0.0,,1951.1474,-0.9375,,
1951.1874,0,,1951.1678,0.0,,1951.1678,-0.125,,1951.1872,0.0,,1951.168,0.0,,1951.1874,-37,,1951.1678,0.0,,1951.168,0.0,,1951.1872,102.375,,1951.1872,37,,1951.1874,0.0,,1951.1678,-1.3125,,1951.1678,1.24609375,,1951.1678,0.25,,1951.1678,0.0,,1951.1678,0.125,,
1951.2074,0,,1951.1876,0.0,,1951.1876,-0.6875,,1951.2072,0.0,,1951.1878,0.0,,1951.2074,-37,,1951.1876,0.0,,1951.1878,0.0,,1951.2072,102.3125,,1951.2072,37,,1951.2074,0.0,,1951.1876,-1.5625,,1951.1876,1.2734375,,1951.1876,0.3125,,1951.1876,0.0,,1951.1876,0.25,,
1951.2276,0,,1951.2076,0.0,,1951.2076,-1.25,,1951.2274,0.0,,1951.2078,0.0,,1951.2276,-37,,1951.2076,0.0,,1951.2078,0.0,,1951.2274,102.375,,1951.2274,37,,1951.2276,0.0,,1951.2076,-1.875,,1951.2076,1.23828125,,1951.2076,0.6875,,1951.2076,0.0,,1951.2076,0.875,,
1951.2476,0,,1951.2278,0.0,,1951.2278,-0.6875,,1951.2474,0.0,,1951.228,0.0,,1951.2476,-36,,1951.2278,0.0,,1951.228,0.0,,1951.2474,102.3125,,1951.2474,37,,1951.2476,0.0,,1951.2278,-1.375,,1951.2278,1.203125,,1951.2278,0.8125,,1951.2278,0.0,,1951.2278,-0.9375,,
1951.2676,0,,1951.2478,0.0,,1951.2478,0.875,,1951.2676,0.0,,1951.2478,0.0,,1951.2676,-36,,1951.2478,0.0,,1951.2478,0.0,,1951.2676,102.3125,,1951.2676,37,,1951.2676,0.0,,1951.2478,-1.25,,1951.2478,1.203125,,1951.2478,0.375,,1951.2478,0.0,,1951.2478,-0.5625,,
1951.2876,0,,1951.268,0.0,,1951.268,3.8125,,1951.2874,0.0,,1951.268,0.0,,1951.2876,-36,,1951.2678,0.0,,1951.268,0.0,,1951.2874,102.3125,,1951.2874,37,,1951.2876,0.0,,1951.2678,-1.0,,1951.268,1.2109375,,1951.268,-0.5,,1951.2678,0.0,,1951.2678,-1.25,,
1951.3074,0,,1951.2878,0.0,,1951.2878,0.1875,,1951.3074,0.0,,1951.2878,0.0,,1951.3074,-35,,1951.2876,0.0,,1951.2878,0.0,,1951.3074,102.3125,,1951.3074,37,,1951.3074,0.0,,1951.2876,-1.6875,,1951.2878,1.23828125,,1951.2878,0.3125,,1951.2876,0.0,,1951.2876,1.0625,,
1951.3276,0,,1951.3078,0.0,,1951.3078,-1.125,,1951.3274,0.0,,1951.3078,0.0,,1951.3276,-35,,1951.3078,0.0,,1951.3078,0.0,,1951.3274,102.25,,1951.3274,37,,1951.3276,0.0,,1951.3078,-1.125,,1951.3078,1.2109375,,1951.3078,0.75,,1951.3078,0.0,,1951.3078,0.0625,,
1951.3474,0,,1951.3278,0.0,,1951.3278,-0.0625,,1951.3472,0.0,,1951.328,0.0,,1951.3474,-35,,1951.3278,0.0,,1951.328,0.0,,1951.3472,102.3125,,1951.3472,37,,1951.3474,0.0,,1951.3278,-1.1875,,1951.3278,1.21875,,1951.3278,0.625,,1951.3278,0.0,,1951.3278,-0.75,,
1951.3676,0,,1951.3476,0.0,,1951.3476,1.125,,1951.3676,0.0,,1951.3478,0.0,,1951.3676,-34,,1951.3476,0.0,,1951.3478,0.0,,1951.3676,102.3125,,1951.3676,37,,1951.3676,0.0,,1951.3476,-1.3125,,1951.3476,1.2109375,,1951.3476,0.1875,,1951.3476,0.0,,1951.3476,-0.125,,
1951.3874,0,,1951.3678,0.0,,1951.3678,0.0,,1951.3874,0.0,,1951.3678,0.0,,1951.3874,-34,,1951.3678,0.0,,1951.3678,0.0,,1951.3874,102.3125,,1951.3874,37,,1951.3874,0.0,,1951.3678,-0.9375,,1951.3678,1.203125,,1951.3678,0.3125,,1951.3678,0.0,,1951.3678,-1.6875,,
1951.4076,0,,1951.3878,0.0,,1951.3878,1.0,,1951.4074,0.0,,1951.3878,0.0,,1951.4076,-34,,1951.3876,0.0,,1951.3878,0.0,,1951.4074,102.375,,1951.4074,37,,1951.4076,0.0,,1951.3876,-1.125,,1951.3878,1.19140625,,1951.3878,0.0,,1951.3876,0.0,,1951.3876,-1.0,,
1951.4276,0,,1951.4078,0.0,,1951.4078,-0.8125,,1951.4274,0.0,,1951.4078,0.0,,1951.4276,-33,,1951.4078,0.0,,1951.4078,0.0,,1951.4274,102.25,,1951.4274,37,,1951.4276,0.0,,1951.4078,-1.6875,,1951.4078,1.2265625,,1951.4078,0.3125,,1951.4078,0.0,,1951.4078,0.6875,,
1951.4474,0,,1951.4278,0.0,,1951.4278,-1.5,,1951.4472,0.0,,1951.428,0.0,,1951.4474,-33,,1951.4276,0.0,,1951.428,0.0,,1951.4472,102.375,,1951.4472,37,,1951.4474,0.0,,1951.4276,-1.25,,1951.4278,1.19140625,,1951.4278,0.75,,1951.4276,0.0,,1951.4276,-0.8125,,
