Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
1000	01/26 14:49:50	#2401 000:00:28:56	0.0	28.3	28.3	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	27	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1001	01/26 14:49:51	#2401 000:00:28:57	0.0	28.2	28.2	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	27	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.81	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1002	01/26 14:49:52	#2401 000:00:28:58	0.0	28.1	28.1	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	27	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.81	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1003	01/26 14:49:53	#2401 000:00:28:59	0.0	28.1	28.1	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	27	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1004	01/26 14:49:54	#2401 000:00:29:00	0.0	28.1	28.1	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	27	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1005	01/26 14:49:55	#2401 000:00:29:01	0.0	28.1	28.1	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	27	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1006	01/26 14:49:56	#2401 000:00:29:02	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.78	
1007	01/26 14:49:57	#2401 000:00:29:03	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1008	01/26 14:49:58	#2401 000:00:29:04	0.0	28.1	28.1	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1009	01/26 14:49:59	#2401 000:00:29:05	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1010	01/26 14:50:00	#2401 000:00:29:06	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1011	01/26 14:50:01	#2401 000:00:29:07	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.78	3.78	3.78	
1012	01/26 14:50:02	#2401 000:00:29:08	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	20	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1013	01/26 14:50:03	#2401 000:00:29:09	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	20	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.78	
1014	01/26 14:50:04	#2401 000:00:29:10	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	19	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1015	01/26 14:50:05	#2401 000:00:29:11	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	19	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.75	3.81	3.78	3.78	3.78	
1016	01/26 14:50:06	#2401 000:00:29:12	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	23	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1017	01/26 14:50:07	#2401 000:00:29:13	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	23	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.78	
1018	01/26 14:50:08	#2401 000:00:29:14	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	19	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1019	01/26 14:50:09	#2401 000:00:29:15	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	19	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.75	
